Grapheme	anterior	approximant	back	click	cons	constricted	continuant	coronal	distributed	dorsal	front	high	labial	laryngeal	lateral	long	low	nasal	pharyngeal	place	preaspirated	preglottalized	prenasal	round	sibilant	sonorant	spread	strident	syllabic	tense	voice
a	-	+	0	0	-	0	+	0	0	+	+	0	0	+	0	0	+	0	0	+	0	0	0	0	0	+	0	0	+	+	+
aː	-	+	0	0	-	0	+	0	0	+	+	0	0	+	0	+	+	0	0	+	0	0	0	0	0	+	0	0	+	+	+
a˞	+	+	0	0	-	0	+	0	0	+	+	0	0	+	0	0	+	0	0	+	0	0	0	0	0	+	0	0	+	+	+
ã	-	+	0	0	-	0	+	0	0	+	+	0	0	+	0	0	+	+	0	+	0	0	0	0	0	+	0	0	+	+	+
ãː	-	+	0	0	-	0	+	0	0	+	+	0	0	+	0	+	+	+	0	+	0	0	0	0	0	+	0	0	+	+	+
ă	-	+	0	0	-	0	+	0	0	+	+	0	0	+	0	-	+	0	0	+	0	0	0	0	0	+	0	0	+	+	+
ḁ	-	+	0	0	-	0	+	0	0	+	+	0	0	+	0	0	+	0	0	+	0	0	0	0	0	+	0	0	+	+	-
a̯	-	+	0	0	-	0	+	0	0	+	+	0	0	+	0	0	+	0	0	+	0	0	0	0	0	+	0	0	-	+	+
b	0	0	0	0	+	0	-	0	0	0	0	0	+	+	0	0	0	0	0	+	0	0	0	-	0	-	0	0	0	0	+
bv	+	-	0	0	+	0	-	+	+	0	0	0	+	+	0	0	0	0	0	+	0	0	0	-	0	-	0	+	0	0	+
bʰ	0	0	0	0	+	0	-	0	0	0	0	0	+	+	0	0	0	0	0	+	0	0	0	-	0	-	+	0	0	0	+
bʰː	0	0	0	0	+	0	-	0	0	0	0	0	+	+	0	+	0	0	0	+	0	0	0	-	0	-	+	0	0	0	+
bʱ	0	0	0	0	+	0	-	0	0	0	0	0	+	+	0	0	0	0	0	+	0	0	0	-	0	-	+	0	0	0	+
bʱː	0	0	0	0	+	0	-	0	0	0	0	0	+	+	0	+	0	0	0	+	0	0	0	-	0	-	+	0	0	0	+
bʲ	-	0	0	0	+	0	-	+	+	0	0	0	+	+	0	0	0	0	0	+	0	0	0	-	0	-	0	0	0	0	+
bʷ	0	0	0	0	+	0	-	0	0	0	0	0	+	+	0	0	0	0	0	+	0	0	0	+	0	-	0	0	0	0	+
bʷː	0	0	0	0	+	0	-	0	0	0	0	0	+	+	0	+	0	0	0	+	0	0	0	+	0	-	0	0	0	0	+
bː	0	0	0	0	+	0	-	0	0	0	0	0	+	+	0	+	0	0	0	+	0	0	0	-	0	-	0	0	0	0	+
bˠ	0	0	+	0	+	0	-	0	0	+	0	+	+	+	0	0	-	0	0	+	0	0	0	-	0	-	0	0	0	0	+
bˤː	0	0	0	0	+	0	-	0	0	0	0	0	+	+	0	+	0	0	+	+	0	0	0	-	0	-	0	0	0	0	+
b̥	0	0	0	0	+	0	-	0	0	0	0	0	+	+	0	0	0	0	0	+	0	0	0	-	0	-	0	0	0	0	-
b̥ʰ	0	0	0	0	+	0	-	0	0	0	0	0	+	+	0	0	0	0	0	+	0	0	0	-	0	-	+	0	0	0	-
b̪	+	0	0	0	+	0	-	+	+	0	0	0	+	+	0	0	0	0	0	+	0	0	0	-	0	-	0	0	0	0	+
bβ	0	-	0	0	+	0	-	0	0	0	0	0	+	+	0	0	0	0	0	+	0	0	0	-	0	-	0	+	0	0	+
bⁿ	0	0	0	0	+	0	-	0	0	0	0	0	+	+	0	0	0	+	0	+	0	0	0	-	0	-	0	0	0	0	+
c	-	-	0	0	+	0	-	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	-	0	-	0	0	-
cç	-	-	0	0	+	0	-	+	+	0	0	0	0	0	0	0	0	0	0	+	0	0	0	0	0	-	0	+	0	0	0
cçʰ	-	-	0	0	+	0	-	+	+	0	0	0	0	0	0	0	0	0	0	+	0	0	0	0	0	-	+	+	0	0	0
cʰ	-	-	0	0	+	0	-	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	-	+	-	0	0	-
cʼ	-	0	0	0	+	+	-	+	+	0	0	0	0	0	0	0	0	0	0	+	0	0	0	0	0	-	0	0	0	0	0
cː	-	0	0	0	+	0	-	+	+	0	0	0	0	0	0	+	0	0	0	+	0	0	0	0	0	-	0	0	0	0	0
ç	-	-	0	0	+	0	+	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	-	0	-	0	0	-
d	+	0	0	0	+	0	-	+	-	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	-	0	0	0	0	+
dz	+	-	0	0	+	0	-	+	-	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	+	-	0	+	0	0	+
dzː	+	-	0	0	+	0	-	+	-	0	0	0	0	+	0	+	0	0	0	+	0	0	0	0	+	-	0	+	0	0	+
dz̪	+	-	0	0	+	0	-	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	+	-	0	+	0	+	+
dz̪ː	+	-	0	0	+	0	-	+	+	0	0	0	0	+	0	+	0	0	0	+	0	0	0	0	+	-	0	+	0	+	+
dð	+	-	0	0	+	0	-	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	-	0	+	0	+	+
dɮ	+	-	0	0	+	0	-	+	-	0	0	0	0	+	+	0	0	0	0	+	0	0	0	0	0	-	0	+	0	0	+
dʑ	0	-	-	0	+	0	-	0	0	+	0	+	0	+	0	0	-	0	0	+	0	0	0	0	+	-	0	+	0	+	+
dʑː	0	-	-	0	+	0	-	0	0	+	0	+	0	+	0	+	-	0	0	+	0	0	0	0	+	-	0	+	0	+	+
dʒ	0	-	0	0	+	0	-	0	0	0	0	0	0	+	0	0	0	0	0	0	0	0	0	0	+	-	0	+	0	0	+
dʒʱ	0	-	0	0	+	0	-	0	0	0	0	0	0	+	0	0	0	0	0	0	0	0	0	0	+	-	+	+	0	0	+
dʒʲ	-	-	0	0	+	0	-	+	+	0	0	0	0	+	0	0	0	0	0	0	0	0	0	0	+	-	0	+	0	0	+
dʒʷ	0	-	0	0	+	0	-	0	0	0	0	0	+	+	0	0	0	0	0	0	0	0	0	+	+	-	0	+	0	0	+
dʰ	+	0	0	0	+	0	-	+	-	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	-	+	0	0	0	+
dʰː	+	0	0	0	+	0	-	+	-	0	0	0	0	+	0	+	0	0	0	+	0	0	0	0	0	-	+	0	0	0	+
dʱ	+	0	0	0	+	0	-	+	-	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	-	+	0	0	0	+
dʱː	+	0	0	0	+	0	-	+	-	0	0	0	0	+	0	+	0	0	0	+	0	0	0	0	0	-	+	0	0	0	+
dʲ	-	0	0	0	+	0	-	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	-	0	0	0	0	+
dː	+	0	0	0	+	0	-	+	-	0	0	0	0	+	0	+	0	0	0	+	0	0	0	0	0	-	0	0	0	0	+
dːʒ	0	-	0	0	+	0	-	0	0	0	0	0	0	+	0	+	0	0	0	0	0	0	0	0	+	-	0	+	0	0	+
dˤ	+	0	0	0	+	0	-	+	-	0	0	0	0	+	0	0	0	0	+	+	0	0	0	0	0	-	0	0	0	0	+
d̠	0	0	0	0	+	0	-	0	0	0	0	0	0	+	0	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0	+
d̥	+	0	0	0	+	0	-	+	-	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	-	0	0	0	0	-
d̥ⁿ	+	0	0	0	+	0	-	+	-	0	0	0	0	+	0	0	0	+	0	+	0	0	0	0	0	-	0	0	0	0	-
d̪	+	0	0	0	+	0	-	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	-	0	0	0	+	+
