"ipa"	"SPE.syllabic"	"HC.syllabic"	"UFTc.SYLLABIC"	"JFH.vocalic "	"SPE.vocalic"	"HC.vocalic"	"UFTc.vocalic"	"UFTc.V-place"	"UFTc.approximant"	"JFH.consonantal"	"SPE.consonantal"	"HC.consonantal"	"UFTc.vocoid"	"SPE.sonorant"	"HC.sonorant"	"UFTc.sonorant"	"JFH.interrupted"	"SPE.continuant"	"HC.continuant"	"UFTc.continuant"	"JFH.voiced"	"SPE.voice"	"HC.voice"	"UFTc.voice"	"JFH.checked"	"SPE.glottal_(tertiary)_closure"	"HC.constr"	"UFTc.constricted"	"SPE.lateral"	"HC.lateral"	"UFTc.lateral"	"JFH.nasal"	"SPE.nasal"	"HC.nasal"	"UFTc.nasal"	"JFH.strident"	"SPE.strident"	"HC.strident"	"UFTc.strident"	"JFH.tense"	"SPE.heightened_subglottal_pressure"	"HC.spread"	"UFTc.spread"	"SPE.movement_of_glottal_closure"	"SPE.tense"	"SPE.covered"	"HC.tense"	"HC.ATR"	"UFTc.ATR"	"JFH.compact"	"SPE.high"	"HC.high"	"JFH.sharp"	"SPE.low"	"HC.low"	"JFH.diffuse"	"SPE.anterior"	"HC.anterior"	"UFTc.anterior (C)"	"UFTc.anterior (V)"	"UFTc.anterior (any)"	"JFH.grave"	"SPE.coronal"	"HC.coronal"	"UFTc.coronal (C)"	"UFTc.coronal (V)"	"UFTc.coronal (any)"	"SPE.back"	"HC.back"	"JFH.flat"	"SPE.round"	"HC.round"	"HC.labial"	"UFTc.labial (C)"	"SPE.distributed"	"HC.distributed"	"UFTc.distributed (C)"	"UFTc.distributed (V)"	"UFTc.distributed (any)"	"SPE.delayed_primary_release"	"SPE.delayed_release_of_secondary_closure"	"UFTc.C-place"	"UFTc.pharyngeal (C)"	"UFTc.lingual (C)"	"UFTc.dorsal (C)"	"UFTc.pharyngeal (V)"	"UFTc.labial (V)"	"UFTc.lingual (V)"	"UFTc.dorsal (V)"	"JFH.LONG"	"JFH.EXTRA"	"SPE.LONG"	"SPE.EXTRA"	"HC.LONG"	"HC.EXTRA"	"UFTc.LONG"	"UFTc.EXTRA"	"UFTc.open1"	"UFTc.open2"	"UFTc.open3"	"UFTc.open4"	"UFTc.open5"	"UFTc.open6"	"UFTc.pharyngeal (any)"	"UFTc.labial (any)"	"UFTc.lingual (any)"	"UFTc.dorsal (any)"
"n̪ː"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"."	"-"	"-"	"-"	"n"	"-"	"n"	"-"	"n"	"n"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"n"	"+"	"-"	"+"	"+"	"+"	"o"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"n"	"+"	"-"	"n"	"x"	"-"	"+"	"-"	"o"	"o"	"o"	"o"	"+"	"-"	"+"	"-"	"+"	"-"	"+"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
"ⁿc"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"n"	"n"	"-"	"."	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"."	"-"	"-"	"-"	"n"	"."	"n"	"."	"n"	"n"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"n"	"-"	"-"	"-"	"-"	"+"	"o"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"+"	"n"	"+"	"-"	"n"	"x"	"-"	"+"	"-"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
"ⁿc"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"n"	"n"	"-"	"."	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"."	"-"	"-"	"-"	"n"	"."	"n"	"."	"n"	"n"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"n"	"-"	"-"	"-"	"-"	"+"	"o"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"+"	"n"	"+"	"-"	"n"	"x"	"-"	"+"	"-"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
"ⁿd"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"."	"-"	"-"	"-"	"n"	"-"	"n"	"-"	"n"	"n"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"n"	"+"	"-"	"+"	"+"	"+"	"o"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"n"	"-"	"-"	"n"	"x"	"-"	"+"	"-"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
"nd̥"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"."	"-"	"-"	"-"	"n"	"-"	"n"	"-"	"n"	"n"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"n"	"+"	"-"	"+"	"+"	"+"	"o"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"n"	"-"	"-"	"n"	"x"	"-"	"+"	"-"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
"ⁿd̪"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"."	"-"	"-"	"-"	"n"	"-"	"n"	"-"	"n"	"n"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"n"	"+"	"-"	"+"	"+"	"+"	"o"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"n"	"+"	"-"	"n"	"x"	"-"	"+"	"-"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
"ⁿd̪"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"."	"-"	"-"	"-"	"n"	"-"	"n"	"-"	"n"	"n"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"n"	"+"	"-"	"+"	"+"	"+"	"o"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"n"	"+"	"-"	"n"	"x"	"-"	"+"	"-"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
"nð"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"."	"-"	"-"	"-"	"n"	"-"	"n"	"-"	"n"	"n"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"n"	"+"	"-"	"+"	"+"	"+"	"o"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"+"	"n"	"+"	"n"	"n"	"x"	"-"	"+"	"-"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
"ⁿdʲ"	"-"	"-"	"-"	"-"	"-"	"-"	"x"	"x"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"."	"-"	"-"	"-"	"n"	"-"	"n"	"-"	"n"	"n"	"-"	"+"	"+"	"+"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"+"	"-"	"+"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"-"	"n"	"x"	"-"	"+"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
"ⁿdl"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"."	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"."	"-"	"-"	"-"	"n"	"."	"n"	"."	"n"	"n"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"n"	"+"	"-"	"+"	"+"	"+"	"o"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"n"	"-"	"-"	"n"	"x"	"-"	"+"	"-"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
"ⁿdlʼ"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"."	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"."	"-"	"-"	"-"	"+"	"+"	"n"	"+"	"n"	"n"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"n"	"+"	"-"	"+"	"+"	"+"	"o"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"n"	"-"	"-"	"n"	"x"	"-"	"+"	"-"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
"ⁿdlʼ"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"."	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"."	"-"	"-"	"-"	"+"	"+"	"n"	"+"	"n"	"n"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"n"	"+"	"-"	"+"	"+"	"+"	"o"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"n"	"-"	"-"	"n"	"x"	"-"	"+"	"-"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
"ⁿdɮ"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"."	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"."	"-"	"-"	"-"	"n"	"-"	"n"	"-"	"n"	"n"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"n"	"+"	"-"	"+"	"+"	"+"	"o"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"-"	"n"	"-"	"+"	"n"	"x"	"-"	"+"	"-"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
"ⁿdʷ"	"-"	"-"	"-"	"-"	"-"	"-"	"x"	"x"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"."	"-"	"-"	"-"	"n"	"-"	"n"	"-"	"n"	"n"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"n"	"+"	"-"	"+"	"+"	"+"	"-"	"+"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"n"	"-"	"-"	"n"	"x"	"-"	"+"	"-"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"+"	"+"	"+"	"-"
"ⁿdz"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"."	"-"	"-"	"-"	"n"	"-"	"n"	"-"	"n"	"n"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"n"	"+"	"-"	"+"	"+"	"+"	"o"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"n"	"-"	"+"	"n"	"x"	"-"	"+"	"-"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
"ⁿdʒ"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"."	"-"	"-"	"-"	"n"	"-"	"n"	"-"	"n"	"n"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"n"	"-"	"-"	"+"	"+"	"+"	"o"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"n"	"+"	"+"	"n"	"x"	"-"	"+"	"-"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
"ⁿdʒ"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"."	"-"	"-"	"-"	"n"	"-"	"n"	"-"	"n"	"n"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"n"	"-"	"-"	"+"	"+"	"+"	"o"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"n"	"+"	"+"	"n"	"x"	"-"	"+"	"-"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
"ⁿdβ"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"."	"-"	"-"	"-"	"n"	"-"	"n"	"-"	"n"	"n"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"n"	"+"	"."	"."	"."	"+"	"o"	"+"	"-"	"-"	"-"	"-"	"-"	"."	"+"	"."	"."	"-"	"n"	"-"	"+"	"n"	"x"	"-"	"+"	"-"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"+"	"+"	"-"
"ⁿɖ"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"."	"-"	"-"	"-"	"n"	"-"	"n"	"-"	"n"	"n"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"n"	"-"	"-"	"+"	"+"	"+"	"o"	"+"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"n"	"-"	"-"	"n"	"x"	"-"	"+"	"-"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
"ⁿɡʷ"	"-"	"-"	"-"	"-"	"-"	"-"	"x"	"x"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"n"	"n"	"-"	"."	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"."	"-"	"-"	"-"	"n"	"-"	"n"	"-"	"n"	"n"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"n"	"n"	"n"	"+"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"+"	"+"	"-"	"."	"."	"n"	"n"	"n"	"-"	"n"	"x"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"+"	"+"	"+"	"+"
"nɡǀ"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"."	"-"	"-"	"-"	"n"	"n"	"n"	"n"	"n"	"n"	"-"	"+"	"+"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"n"	"+"	"-"	"+"	"+"	"+"	"o"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"n"	"+"	"-"	"-"	"x"	"-"	"+"	"+"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"+"
"nɡǁ"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"."	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"."	"-"	"-"	"-"	"n"	"n"	"n"	"n"	"n"	"n"	"-"	"+"	"+"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"n"	"+"	"-"	"+"	"+"	"+"	"o"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"."	"."	"-"	"n"	"-"	"-"	"-"	"x"	"-"	"+"	"+"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"+"
"nɡǂ"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"."	"-"	"-"	"-"	"n"	"n"	"n"	"n"	"n"	"n"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"n"	"-"	"-"	"+"	"+"	"+"	"o"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"n"	"+"	"-"	"-"	"x"	"-"	"+"	"+"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"+"
"nɡǃ"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"."	"-"	"-"	"-"	"n"	"n"	"n"	"n"	"n"	"n"	"-"	"+"	"+"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"n"	"+"	"-"	"+"	"+"	"+"	"o"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"n"	"-"	"-"	"-"	"x"	"-"	"+"	"+"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"+"
"nʰ"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"n"	"n"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"n"	"+"	"n"	"+"	"n"	"n"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"n"	"+"	"-"	"+"	"+"	"+"	"o"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"-"	"n"	"-"	"-"	"n"	"x"	"-"	"+"	"-"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
"n̪ʰ"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"n"	"+"	"n"	"+"	"n"	"n"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"n"	"+"	"-"	"+"	"+"	"+"	"o"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"n"	"+"	"-"	"n"	"x"	"-"	"+"	"-"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
"nʲ"	"-"	"-"	"-"	"-"	"-"	"-"	"x"	"x"	"-"	"+"	"+"	"+"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"."	"-"	"-"	"-"	"n"	"-"	"n"	"-"	"n"	"n"	"-"	"+"	"+"	"+"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"+"	"-"	"+"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"-"	"n"	"x"	"-"	"+"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
"nʲ"	"-"	"-"	"-"	"-"	"-"	"-"	"x"	"x"	"-"	"+"	"+"	"+"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"."	"-"	"-"	"-"	"n"	"-"	"n"	"-"	"n"	"n"	"-"	"+"	"+"	"+"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"+"	"-"	"+"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"-"	"n"	"x"	"-"	"+"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
"n̟ʲ"	"-"	"-"	"-"	"-"	"-"	"-"	"x"	"x"	"-"	"+"	"+"	"+"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"."	"-"	"-"	"-"	"n"	"-"	"n"	"-"	"n"	"n"	"-"	"+"	"+"	"+"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"+"	"-"	"+"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"n"	"x"	"-"	"+"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
