non_ipa,ipa,chart,height/manner,place/color,misc1,misc2
bZ,bʒ,consonant,affricate,bilabial-to-postalveolar,voiced,plain
d5z5,d̪z̪,consonant,affricate,dental,voiced,plain
d5Z,d̪ʒ,consonant,affricate,dental-to-postalveolar,voiced,plain
d5D,d̪ð,consonant,affricate,interdental,voiced,plain
bv,bv,consonant,affricate,labiodental,voiced,plain
bƒÆ,b͡ʝ,consonant,affricate,labiopalatal,voiced,plain
d6ü,d̻ʑ,consonant,affricate,laminal-alveolar-to-alveolopalatal,voiced,plain
d6Z6,d̻ʒ̻,consonant,affricate,laminal-alveolar-to-laminal-postalveolar,voiced,plain
NEW,dɮ,consonant,affricate,lateral,voiced,plain
ïÆ,ɟʝ,consonant,affricate,palatal,voiced,plain
ïü,ɟʑ,consonant,affricate,palatal-to-alveolopalatal,voiced,plain
dZ,dʒ,consonant,affricate,postalveolar,voiced,plain
ê½,ɖʐ,consonant,affricate,retroflex,voiced,plain
dZƒg,dʒ͡ɡ,consonant,affricate-to-stop,postalveolar-to-velar,voiced,plain
¨,ɹ,consonant,approximant,alveolar,voiced,plain
¾â,ɹ,consonant,approximant,alveolar,voiced,plain
V,ʋ,consonant,approximant,labiodental,voiced,plain
ç,ɥ,consonant,approximant,labiopalatal,voiced,plain
w,w,consonant,approximant,labiovelar,voiced,plain
j,j,consonant,approximant,palatal,voiced,plain
Ó,ɻ,consonant,approximant,retroflex,voiced,plain
qå,qɰ,consonant,approximant,uvular,voiced,plain
å,ɰ,consonant,approximant,velar,voiced,plain
µ9,ɰ,consonant,approximant,velar,voiced,plain
—g,ɡǃ,consonant,click,alveolar,voiced,plain
g—,ɡǃ,consonant,click,alveolar,voiced,plain
‡g,ɡʘ,consonant,click,bilabial,voiced,plain
–g,ɡǀ,consonant,click,dental,voiced,plain
g–,ɡǀ,consonant,click,dental,voiced,plain
g–,ɡǀ,consonant,click,dental,voiced,plain
„g,ɡǁ,consonant,click,lateral,voiced,plain
g„,ɡǁ,consonant,click,lateral,voiced,plain
œg,ɡǂ,consonant,click,palatoalveolar,voiced,plain
gœ,ɡǂ,consonant,click,palatoalveolar,voiced,plain
d',dʼ,consonant,ejective,alveolar,voiced,plain
d’,dʼ,consonant,ejective,alveolar,voiced,plain
NEW,d̪ʼ,consonant,ejective,dental,voiced,plain
NEW,ɖʼ,consonant,ejective,retroflex,voiced,plain
NEW,ɡʼ,consonant,ejective,velar,voiced,plain
R,ɾ,consonant,flap,alveolar,voiced,plain
R5,ɾ̪,consonant,flap,dental,voiced,plain
RD,ɾð,consonant,flap,interdental,voiced,plain
vR,vɾ,consonant,flap,labiodental,voiced,plain
NEW,,consonant,flap,labiodental,voiced,plain
ä,ɺ,consonant,flap,lateral,voiced,plain
R:,ɾˡ,consonant,flap,lateral,voiced,plain
},ɽ,consonant,flap,retroflex,voiced,plain
z,z,consonant,fricative,alveolar,voiced,plain
ü,ʑ,consonant,fricative,alveolopalatal,voiced,plain
B,β,consonant,fricative,bilabial,voiced,plain
z5,z̪,consonant,fricative,dental,voiced,plain
z5v,z̪v,consonant,fricative,dental-to-labiodental,voiced,plain
NEW,ʡ,consonant,fricative,epiglottal,voiced,plain
ú,ɦ,consonant,fricative,glottal,voiced,plain
D,ð,consonant,fricative,interdental,voiced,plain
v,v,consonant,fricative,labiodental,voiced,plain
ÄƒB,ɣ͡β,consonant,fricative,labiovelar,voiced,plain
z6,z̻,consonant,fricative,laminal-alveolar,voiced,plain
Z6,ʒ̥,consonant,fricative,laminal-postalveolar,voiced,plain
L,ɮ,consonant,fricative,lateral,voiced,plain
Æ,ʝ,consonant,fricative,palatal,voiced,plain
Ö,ʕ,consonant,fricative,pharyngeal,voiced,plain
Z,ʒ,consonant,fricative,postalveolar,voiced,plain
NEW_PARAMETER,ɣ̠,consonant,fricative,postvelar,voiced,plain
½,ʐ,consonant,fricative,retroflex,voiced,plain
Ò,ʁ,consonant,fricative,uvular,voiced,plain
Ä,ɣ,consonant,fricative,velar,voiced,plain
NEW,ʒdʒ,consonant,fricative-to-affricate,postalveolar,voiced,plain
ë,ɗ,consonant,implosive,alveolar,voiced,plain
º,ɓ,consonant,implosive,bilabial,voiced,plain
ë5,ɗ̪,consonant,implosive,dental,voiced,plain
NEW,g͡ɓ,consonant,implosive,labiovelar,voiced,plain
©ƒº,ɠ͡ɓ,consonant,implosive,labiovelar,voiced,plain
×,ʄ,consonant,implosive,palatal,voiced,plain
ý,ʛ,consonant,implosive,uvular,voiced,plain
©,ɠ,consonant,implosive,velar,voiced,plain
ëZ,ɗʒ,consonant,implosive-affricate,postalveolar,voiced,plain
l+,l̟,consonant,lateral-approximant,advanced-lateral,voiced,plain
l5,l̪,consonant,lateral-approximant,dental,voiced,plain
NEW,l̪͆,consonant,lateral-approximant,interdental,voiced,plain
NEW_PARAMETER,l̻,consonant,lateral-approximant,laminal-lateral,voiced,plain
l,l,consonant,lateral-approximant,lateral,voiced,plain
´,ʎ,consonant,lateral-approximant,palatal,voiced,plain
ñ,ɭ,consonant,lateral-approximant,retroflex,voiced,plain
NEW,ʟ,consonant,lateral-approximant,velar,voiced,plain
NEW_PARAMETER,d̪l̪,consonant,lateral-stop,dental,voiced,plain
NEW_PARAMETER,dl,consonant,lateral-stop,lateral,voiced,plain
NEW_PARAMETER,ɟʎ,consonant,lateral-stop,palatal,voiced,plain
o9,o̯,consonant,mid-approximant,labiovelar,voiced,plain
e9,e̯,consonant,mid-approximant,palatal,voiced,plain
NEW,a̯,consonant,mid-approximant,pharyngeal,voiced,plain
n+,n̟,consonant,nasal,advanced-alveolar,voiced,plain
n,n,consonant,nasal,alveolar,voiced,plain
m,m,consonant,nasal,bilabial,voiced,plain
mƒN,m͡ŋ,consonant,nasal,bilabial-to-velar,voiced,plain
n5,n̪,consonant,nasal,dental,voiced,plain
NEW,ɱ,consonant,nasal,labiodental,voiced,plain
Nƒm,ŋ͡m,consonant,nasal,labiovelar,voiced,plain
Nm,ŋ͡m,consonant,nasal,labiovelar,voiced,plain
n6,n̻,consonant,nasal,laminal-alveolar,voiced,plain
ø,ɲ,consonant,nasal,palatal,voiced,plain
øƒn5,ɲ͡n̪,consonant,nasal,palatal-to-dental,voiced,plain
øƒN,ɲ͡ŋ,consonant,nasal,palatal-to-velar,voiced,plain
N?,N?,consonant,nasal,placeless,voiced,plain
NEW_PARAMETER,ŋ̠,consonant,nasal,postvelar,voiced,plain
NEW_PARAMETER,ŋ̟,consonant,nasal,prevelar,voiced,plain
n2,n̞,consonant,nasal,retracted_alveolar,voiced,plain
÷,ɳ,consonant,nasal,retroflex,voiced,plain
²,ɴ,consonant,nasal,uvular,voiced,plain
N,ŋ,consonant,nasal,velar,voiced,plain
mB,mβ,consonant,nasal-spirant,bilabial,voiced,plain
Bm,βm,consonant,nasal-spirant,bilabial,voiced,plain
d,d,consonant,stop,alveolar,voiced,plain
b,b,consonant,stop,bilabial,voiced,plain
bƒd,b͡d,consonant,stop,bilabial-to-alveolar,voiced,plain
bƒg,b͡ɡ,consonant,stop,bilabial-to-velar,voiced,plain
d5,d̪,consonant,stop,dental,voiced,plain
gƒb,ɡ͡b,consonant,stop,labiovelar,voiced,plain
d6,d̻,consonant,stop,laminal-alveolar,voiced,plain
ï,ɟ,consonant,stop,palatal,voiced,plain
NEW_PARAMETER,ɡ̠,consonant,stop,postvelar,voiced,plain
NEW_PARAMETER,ɡ̟,consonant,stop,prevelar,voiced,plain
ê,ɖ,consonant,stop,retroflex,voiced,plain
NEW_PARAMETER,ɖɭ,consonant,stop,retroflex-lateral,voiced,plain
G,ɢ,consonant,stop,uvular,voiced,plain
g,ɡ,consonant,stop,velar,voiced,plain
bƒdz,b͡dz,consonant,stop-to-affricate,bilabial-to-alveolar,voiced,plain
bƒdZ,b͡dʒ,consonant,stop-to-affricate,bilabial-to-postalveolar,voiced,plain
bƒë,b͡ɗ,consonant,stop-to-implosive,bilabial-to-alveolar,voiced,plain
gƒº,ɡ͡ɓ,consonant,stop-to-implosive,labiovelar,voiced,plain
r+,r̟,consonant,trill,advanced-alveolar,voiced,plain
r,r,consonant,trill,alveolar,voiced,plain
NEW,r̻,consonant,trill,alveolar,voiced,plain
NEW,ʙ,consonant,trill,bilabial,voiced,plain
r5,r̪,consonant,trill,dental,voiced,plain
v&,v̌,consonant,trill,labiodental,voiced,plain
{,ʀ,consonant,trill,uvular,voiced,plain
NEW,dⁿ,consonant,stop,alveolar,voiced,postnasalized
NEW,bᵐ,consonant,stop,bilabial,voiced,postnasalized
NEW,d̪ⁿ,consonant,stop,dental,voiced,postnasalized
NEW,ɡᵑ,consonant,stop,velar,voiced,postnasalized
NEW_PARAMETER,ʲɟ,consonant,stop,palatal,voiced,pre-palatalized
/edw,ʔw,consonant,approximant,labiovelar,voiced,preglottalized
‘w,ʔw,consonant,approximant,labiovelar,voiced,preglottalized
NEW,ˀw,consonant,approximant,labiovelar,voiced,preglottalized
/j,ʔj,consonant,approximant,palatal,voiced,preglottalized
‘j,ʔj,consonant,approximant,palatal,voiced,preglottalized
NEW,ˀj,consonant,approximant,palatal,voiced,preglottalized
NEW,ˀɰ,consonant,approximant,velar,voiced,preglottalized
/l,ʔl,consonant,lateral-approximant,lateral,voiced,preglottalized
‘l,ʔl,consonant,lateral-approximant,lateral,voiced,preglottalized
NEW,ˀl,consonant,lateral-approximant,lateral,voiced,preglottalized
/n,ʔn,consonant,nasal,alveolar,voiced,preglottalized
‘n,ʔn,consonant,nasal,alveolar,voiced,preglottalized
/m,ʔm,consonant,nasal,bilabial,voiced,preglottalized
‘m,ʔm,consonant,nasal,bilabial,voiced,preglottalized
NEW,ˀm,consonant,nasal,bilabial,voiced,preglottalized
NEW,ʔŋ,consonant,nasal,velar,voiced,preglottalized
/d,ʔd,consonant,stop,alveolar,voiced,preglottalized
‘d,ʔd,consonant,stop,alveolar,voiced,preglottalized
/b,ʔb,consonant,stop,bilabial,voiced,preglottalized
‘b,ʔb,consonant,stop,bilabial,voiced,preglottalized
ndz,ⁿdz,consonant,affricate,alveolar,voiced,prenasalized
ndB,ⁿdβ,consonant,affricate,alveolar-to-bilabial,voiced,prenasalized
NEW,ⁿd̪z̪,consonant,affricate,dental,voiced,prenasalized
ndL,ⁿdɮ,consonant,affricate,lateral,voiced,prenasalized
ødZ,ⁿdʒ,consonant,affricate,postalveolar,voiced,prenasalized
ndZ,ⁿdʒ,consonant,affricate,postalveolar,voiced,prenasalized
NEW,ⁿɖʐ,consonant,affricate,retroflex,voiced,prenasalized
ng—,nɡǃ,consonant,click,alveolar,voiced,prenasalized
ng–,nɡǀ,consonant,click,dental,voiced,prenasalized
ng„,nɡǁ,consonant,click,lateral,voiced,prenasalized
ngœ,nɡǂ,consonant,click,palatoalveolar,voiced,prenasalized
nz,ⁿz,consonant,fricative,alveolar,voiced,prenasalized
mv,ᵐv,consonant,fricative,bilabial,voiced,prenasalized
n5z5,n̪z̪,consonant,fricative,dental,voiced,prenasalized
nD,nð,consonant,fricative,interdental,voiced,prenasalized
NEW,ᵐv,consonant,fricative,labiodental,voiced,prenasalized
Mv,ᵐv,consonant,fricative,labiodental,voiced,prenasalized
nL,ⁿɮ,consonant,fricative,lateral,voiced,prenasalized
øZ,ⁿʒ,consonant,fricative,postalveolar,voiced,prenasalized
nZ,ⁿʒ,consonant,fricative,postalveolar,voiced,prenasalized
NEW,ᵐɓ,consonant,implosive,bilabial,voiced,prenasalized
NEW,ⁿɗ̪,consonant,implosive,dental,voiced,prenasalized
NEW,ᵑɠ,consonant,implosive,velar,voiced,prenasalized
nd,ⁿd,consonant,stop,alveolar,voiced,prenasalized
NEW,ᵐb,consonant,stop,bilabial,voiced,prenasalized
mb,ᵐb,consonant,stop,bilabial,voiced,prenasalized
n5d5,ⁿd̪,consonant,stop,dental,voiced,prenasalized
nd5,ⁿd̪,consonant,stop,dental,voiced,prenasalized
Nƒmgƒb,ᵑᵐɡ͡b,consonant,stop,labiovelar,voiced,prenasalized
Nmgƒb,ᵑᵐɡ͡b,consonant,stop,labiovelar,voiced,prenasalized
ndl,ⁿdl,consonant,stop,lateral,voiced,prenasalized
øï,ⁿɟ,consonant,stop,palatal,voiced,prenasalized
nï,ⁿɟ,consonant,stop,palatal,voiced,prenasalized
NEW,ɟ,consonant,stop,palatal,voiced,prenasalized
÷ê,ⁿɖ,consonant,stop,retroflex,voiced,prenasalized
Nï,ᵑɡ,consonant,stop,velar,voiced,prenasalized
Ng,ᵑɡ,consonant,stop,velar,voiced,prenasalized
nr,ⁿr,consonant,trill,alveolar,voiced,prenasalized
NEW,ᵐʙ,consonant,trill,bilabial,voiced,prenasalized
AUTO(ⁿdʒ),ⁿdʒʷ,consonant,affricate,postalveolar,voiced,prenasalized_labialized
AUTO(ⁿdl),ⁿdlʷ,consonant,stop,lateral,voiced,prenasalized_labialized
NEW_PARAMETER,ⁿj̃,consonant,approximant,palatal,voiced,prenasalized_nasalized
÷ê},ɳɖɽ,consonant,stop,retroflex,voiced,prenasalized_rhotic
NEW_PARAMETER,ɡw,consonant,approximant,labiovelar,voiced,prestopped
NEW_PARAMETER,dj,consonant,approximant,palatal,voiced,prestopped
NEW_PARAMETER,dn,consonant,nasal,alveolar,voiced,prestopped
NEW_PARAMETER,bm,consonant,nasal,bilabial,voiced,prestopped
NEW_PARAMETER,d̪n̪,consonant,nasal,dental,voiced,prestopped
NEW_PARAMETER,ɟɲ,consonant,nasal,palatal,voiced,prestopped
NEW_PARAMETER,nj̃,consonant,approximant,palatal,voiced,nasalized_prestopped
NEW_PARAMETER,ŋw̃,consonant,approximant,labiovelar,voiced,nasalized_prestopped
m<,m<,consonant,nasal,bilabial,voiced,pulmonic-ingressive
NEW,dʳ,consonant,stop,alveolar,voiced,rhotic
ê},ɖɽ,consonant,stop,retroflex,voiced,rhotic
NEW,ľ,consonant,lateral-approximant,lateral,voiced,strident
r&,ř,consonant,trill,alveolar,voiced,strident
NEW,ɾ̩,consonant,flap,alveolar,voiced,syllabic
NEW,ɽ̩,consonant,flap,retroflex,voiced,syllabic
NEW,z̩,consonant,fricative,alveolar,voiced,syllabic
NEW,ʕ̩,consonant,fricative,pharyngeal,voiced,syllabic
NEW,ɣ̩,consonant,fricative,velar,voiced,syllabic
NEW,l̪̩,consonant,lateral-approximant,dental,voiced,syllabic
l`,l̩,consonant,lateral-approximant,lateral,voiced,syllabic
n`,n̩,consonant,nasal,alveolar,voiced,syllabic
m`,m̩,consonant,nasal,bilabial,voiced,syllabic
NEW,ɲ̩,consonant,nasal,palatal,voiced,syllabic
N1,N̩,consonant,nasal,placeless,voiced,syllabic
NEW,N,consonant,nasal,placeless,voiced,plain
NEW,ɴ̩,consonant,nasal,uvular,voiced,syllabic
NEW,ŋ̩,consonant,nasal,velar,voiced,syllabic
NEW,r̩,consonant,trill,laminal-alveolar,voiced,syllabic
Ä$,ɣ̀,consonant,fricative,velar,voiced,tense
d$,d̀,consonant,stop,alveolar,voiced,tense
b$,b̀,consonant,stop,bilabial,voiced,tense
NEW_PARAMETER,dʒ̚,consonant,affricate,postalveolar,voiced,unreleased
NEW_PARAMETER,j̚,consonant,approximant,palatal,voiced,unreleased
NEW_PARAMETER,z̚,consonant,fricative,alveolar,voiced,unreleased
NEW_PARAMETER,l̚,consonant,lateral-approximant,lateral,voiced,unreleased
NEW_PARAMETER,n̚,consonant,nasal,alveolar,voiced,unreleased
NEW_PARAMETER,m̚,consonant,nasal,bilabial,voiced,unreleased
NEW_PARAMETER,n̪̚,consonant,nasal,dental,voiced,unreleased
NEW_PARAMETER,ŋ̚,consonant,nasal,velar,voiced,unreleased
NEW_PARAMETER,d̚,consonant,stop,alveolar,voiced,unreleased
NEW_PARAMETER,b̚,consonant,stop,bilabial,voiced,unreleased
NEW_PARAMETER,d̪̚,consonant,stop,dental,voiced,unreleased
NEW_PARAMETER,ɟ̚,consonant,stop,palatal,voiced,unreleased
NEW_PARAMETER,ɡ̚,consonant,stop,velar,voiced,unreleased
NEW_PARAMETER,r̚,consonant,trill,alveolar,voiced,unreleased
NEW_PARAMETER,wᵑ,consonant,approximant,labiovelar,voiced,velar-postnasalized
NEW_PARAMETER,zᵑ,consonant,fricative,alveolar,voiced,velar-postnasalized
NEW_PARAMETER,vᵑ,consonant,fricative,labiodental,voiced,velar-postnasalized
NEW_PARAMETER,ʒᵑ,consonant,fricative,postalveolar,voiced,velar-postnasalized
NEW_PARAMETER,rᵑ,consonant,trill,alveolar,voiced,velar-postnasalized
NEW,dʒ,consonant,affricate,postalveolar,voiced,velar-prenasalized
Nb,ᵑb,consonant,stop,bilabial,voiced,velar-prenasalized
Ngƒb,ᵑɡ͡b,consonant,stop,labiovelar,voiced,velar-prenasalized
AUTO(w),wˠ,consonant,approximant,labiovelar,voiced,velarized
AUTO(β),βˠ,consonant,fricative,bilabial,voiced,velarized
DÄ,ðˠ,consonant,fricative,interdental,voiced,velarized
É,lˠ,consonant,lateral-approximant,lateral,voiced,velarized
lÄ,lˠ,consonant,lateral-approximant,lateral,voiced,velarized
NEW,ɫ,consonant,lateral-approximant,lateral,voiced,velarized
AUTO(n),nˠ,consonant,nasal,alveolar,voiced,velarized
mì,mˠ,consonant,nasal,bilabial,voiced,velarized
dÄ,dˠ,consonant,stop,alveolar,voiced,velarized
AUTO(b),bˠ,consonant,stop,bilabial,voiced,velarized
wú,wʱ,consonant,approximant,labiovelar,voiced,voiced-aspirated
„n8,ǁn̥,consonant,click,lateral,voiced,voiceless_nasalized
g—x,ɡǃx,consonant,click,alveolar,voiced,x-accompaniment
g‡x,ɡʘx,consonant,click,bilabial,voiced,x-accompaniment
g–x,ɡǀx,consonant,click,dental,voiced,x-accompaniment
g„x,ɡǁx,consonant,click,lateral,voiced,x-accompaniment
gœx,ɡǂx,consonant,click,palatoalveolar,voiced,x-accompaniment
NEW,ɡ̆,consonant,stop,velar,voiced_extra-short,plain
NEW_PARAMETER,dʰˑ,consonant,stop,alveolar,voiced_half-long,aspirated
NEW_PARAMETER,bˑʰ,consonant,stop,bilabial,voiced_half-long,aspirated
NEW_PARAMETER,bʰˑ,consonant,stop,bilabial,voiced_half-long,aspirated
NEW_PARAMETER,ɡʰˑ,consonant,stop,velar,voiced_half-long,aspirated
NEW_PARAMETER,wˑ,consonant,approximant,labiovelar,voiced_half-long,plain
NEW_PARAMETER,jˑ,consonant,approximant,palatal,voiced_half-long,plain
NEW_PARAMETER,zˑ,consonant,fricative,alveolar,voiced_half-long,plain
NEW_PARAMETER,lˑ,consonant,lateral-approximant,lateral,voiced_half-long,plain
NEW_PARAMETER,nˑ,consonant,nasal,alveolar,voiced_half-long,plain
NEW_PARAMETER,mˑ,consonant,nasal,bilabial,voiced_half-long,plain
NEW_PARAMETER,ŋˑ,consonant,nasal,velar,voiced_half-long,plain
NEW_PARAMETER,dˑ,consonant,stop,alveolar,voiced_half-long,plain
NEW_PARAMETER,bˑ,consonant,stop,bilabial,voiced_half-long,plain
NEW_PARAMETER,ɡˑ,consonant,stop,velar,voiced_half-long,plain
NEW_PARAMETER,rˑ,consonant,trill,alveolar,voiced_half-long,plain
AUTO(dʒʰ),dʒʰː,consonant,affricate,postalveolar,voiced_long,aspirated
AUTO(bʰ),bʰː,consonant,stop,bilabial,voiced_long,aspirated
NEW,ʋʰː,consonant,approximant,labiodental,voiced_long,aspirated
NEW,jʰː,consonant,approximant,palatal,voiced_long,aspirated
NEW,lʰː,consonant,lateral-approximant,lateral,voiced_long,aspirated
NEW,nʰː,consonant,nasal,alveolar,voiced_long,aspirated
NEW,mʰː,consonant,nasal,bilabial,voiced_long,aspirated
NEW,ɽʰː,consonant,flap,retroflex,voiced_long,aspirated
NEW,dʰː,consonant,stop,alveolar,voiced_long,aspirated
AUTO(d̪ʰ),d̪ʰː,consonant,stop,dental,voiced_long,aspirated
AUTO(ɖʰ),ɖʰː,consonant,stop,retroflex,voiced_long,aspirated
AUTO(ɡʰ),ɡʰː,consonant,stop,velar,voiced_long,aspirated
AUTO(n̏),n̏ː,consonant,nasal,alveolar,voiced_long,heavy
AUTO(m̏),m̏ː,consonant,nasal,bilabial,voiced_long,heavy
gw:,ɡʷː,consonant,stop,velar,voiced_long,labialized
AUTO(dzʲ),dzːʲ,consonant,affricate,alveolar,voiced_long,palatalized
AUTO(lʲ),lʲː,consonant,lateral-approximant,lateral,voiced_long,palatalized
AUTO(nʲ),nʲː,consonant,nasal,alveolar,voiced_long,palatalized
AUTO(dʲ),dːʲ,consonant,stop,alveolar,voiced_long,palatalized
AUTO(dʲ),dʲː,consonant,stop,alveolar,voiced_long,palatalized
z5Ö:,z̪ˤː,consonant,fricative,dental,voiced_long,pharyngealized
AUTO(ðˤ),ðˤː,consonant,fricative,interdental,voiced_long,pharyngealized
AUTO(z̻ˤ),z̻ˤː,consonant,fricative,laminal-alveolar,voiced_long,pharyngealized
l5Ö:,l̪ˤː,consonant,lateral-approximant,dental,voiced_long,pharyngealized
nÖ:,nˤː,consonant,nasal,alveolar,voiced_long,pharyngealized
AUTO(dˤ),dˤː,consonant,stop,alveolar,voiced_long,pharyngealized
d5Ö:,d̪ˤː,consonant,stop,dental,voiced_long,pharyngealized
rÖ:,rˤː,consonant,trill,alveolar,voiced_long,pharyngealized
NEW,dzː,consonant,affricate,alveolar,voiced_long,plain
AUTO(d̪ð),d̪ːð,consonant,affricate,interdental,voiced_long,plain
AUTO(ɟʝ),ɟʝː,consonant,affricate,palatal,voiced_long,plain
ddZ,dːʒ,consonant,affricate,postalveolar,voiced_long,plain
AUTO(dʒ),dʒː,consonant,affricate,postalveolar,voiced_long,plain
¨:,ɹː,consonant,approximant,alveolar,voiced_long,plain
AUTO(ʋ),ʋː,consonant,approximant,labiodental,voiced_long,plain
w:,wː,consonant,approximant,labiovelar,voiced_long,plain
j:,jː,consonant,approximant,palatal,voiced_long,plain
AUTO(ɾ),ɾː,consonant,flap,alveolar,voiced_long,plain
AUTO(ɾ̪),ɾ̪ː,consonant,flap,dental,voiced_long,plain
AUTO(ɽ),ɽː,consonant,flap,retroflex,voiced_long,plain
AUTO(z),zː,consonant,fricative,alveolar,voiced_long,plain
AUTO(β),βː,consonant,fricative,bilabial,voiced_long,plain
z5:,z̪ː,consonant,fricative,dental,voiced_long,plain
AUTO(ð),ðː,consonant,fricative,interdental,voiced_long,plain
NEW,ð̞,consonant,approximant,interdental,voiced,plain
AUTO(v),vː,consonant,fricative,labiodental,voiced_long,plain
AUTO(z̻),z̻ː,consonant,fricative,laminal-alveolar,voiced_long,plain
AUTO(ʝ),ʝː,consonant,fricative,palatal,voiced_long,plain
AUTO(ʕ),ʕː,consonant,fricative,pharyngeal,voiced_long,plain
Z:,ʒː,consonant,fricative,postalveolar,voiced_long,plain
Ò:,ʁː,consonant,fricative,uvular,voiced_long,plain
g&,ɣː,consonant,fricative,velar,voiced_long,plain
AUTO(ɗ),ɗː,consonant,implosive,alveolar,voiced_long,plain
AUTO(ɓ),ɓː,consonant,implosive,bilabial,voiced_long,plain
AUTO(ɗ̪),ɗ̪ː,consonant,implosive,dental,voiced_long,plain
AUTO(ʄ),ʄː,consonant,implosive,palatal,voiced_long,plain
AUTO(l̪),lː̪,consonant,lateral-approximant,dental,voiced_long,plain
l5:,l̪ː,consonant,lateral-approximant,dental,voiced_long,plain
l:,lː,consonant,lateral-approximant,lateral,voiced_long,plain
ll,lː,consonant,lateral-approximant,lateral,voiced_long,plain
AUTO(ʎ),ʎː,consonant,lateral-approximant,palatal,voiced_long,plain
AUTO(ɭ),ɭː,consonant,lateral-approximant,retroflex,voiced_long,plain
n:,nː,consonant,nasal,alveolar,voiced_long,plain
nn,nː,consonant,nasal,alveolar,voiced_long,plain
m:,mː,consonant,nasal,bilabial,voiced_long,plain
mm,mː,consonant,nasal,bilabial,voiced_long,plain
AUTO(n̪),nː̪,consonant,nasal,dental,voiced_long,plain
n5:,n̪ː,consonant,nasal,dental,voiced_long,plain
ø:,ɲː,consonant,nasal,palatal,voiced_long,plain
AUTO(ɳ),ɳː,consonant,nasal,retroflex,voiced_long,plain
N:,ŋː,consonant,nasal,velar,voiced_long,plain
NN,ŋː,consonant,nasal,velar,voiced_long,plain
AUTO(d),dː,consonant,stop,alveolar,voiced_long,plain
b:,bː,consonant,stop,bilabial,voiced_long,plain
d5:,d̪ː,consonant,stop,dental,voiced_long,plain
AUTO(ɟ),ɟː,consonant,stop,palatal,voiced_long,plain
AUTO(ɖ),ɖː,consonant,stop,retroflex,voiced_long,plain
AUTO(ɢ),ɢː,consonant,stop,uvular,voiced_long,plain
g:,ɡː,consonant,stop,velar,voiced_long,plain
r:,rː,consonant,trill,alveolar,voiced_long,plain
rr,rː,consonant,trill,alveolar,voiced_long,plain
AUTO(ᵐb),ᵐbː,consonant,stop,bilabial,voiced_long,prenasalized
AUTO(ⁿd̪),ⁿd̪ː,consonant,stop,dental,voiced_long,prenasalized
AUTO(ᵑɡ),ᵑɡː,consonant,stop,velar,voiced_long,prenasalized
AUTO(lˠ),lˠː,consonant,lateral-approximant,lateral,voiced_long,velarized
NEW,ð̃,consonant,fricative,interdental,voiced_nasalized,plain
NEW_PARAMETER,d̃,consonant,stop,alveolar,voiced_nasalized,plain
NEW_PARAMETER,b̃,consonant,stop,bilabial,voiced_nasalized,plain
NEW_PARAMETER,ɡ̃͡b̃,consonant,stop,labiovelar,voiced_nasalized,plain
NEW_PARAMETER,ɡ̃,consonant,stop,velar,voiced_nasalized,plain
gkx’,ɡkx’,consonant,affricate,velar,voiced-to-voiceless,glottalized
dz’kx’,dzʼkxʼ,consonant,affricate-to-affricate,alveolar-to-velar,voiced-to-voiceless,glottalized
dz'kx',dzʼkxʼ,consonant,affricate-to-affricate,alveolar-to-velar,voiced-to-voiceless,glottalized
gkx',ɡkx’,consonant,affricate-to-fricative,velar,voiced-to-voiceless,glottalized
d’kx’,dʼkxʼ,consonant,ejective-to-affricate,alveolar-to-velar,voiced-to-voiceless,glottalized
d'kx',dʼkxʼ,consonant,ejective-to-affricate,alveolar-to-velar,voiced-to-voiceless,glottalized
dx,dx,consonant,affricate,alveolar-to-velar,voiced-to-voiceless,plain
bƒC,b͡ç,consonant,affricate,labiopalatal,voiced-to-voiceless,plain
kf,kf,consonant,affricate,velar-to-labiodental,voiced-to-voiceless,plain
dzx,dzx,consonant,affricate-to-fricative,alveolar-to-velar,voiced-to-voiceless,plain
l5T,l̪θ,consonant,lateral-approximant-to-fricative,dental,voiced-to-voiceless,plain
gƒp,ɡ͡p,consonant,stop,labiovelar,voiced-to-voiceless,plain
bƒtS,b͡tʃ,consonant,stop-to-affricate,bilabial-to-postalveolar,voiced-to-voiceless,plain
–s,ǀs,consonant,click,dental,voiceless,affricative
nk—,nkǃ,consonant,click,alveolar,voiceless,alveolar-prenasalized
nk–,nkǀ,consonant,click,dental,voiceless,alveolar-prenasalized_k_accompaniment
tsH,tsʰ,consonant,affricate,alveolar,voiceless,aspirated
t¸h,tɸʰ,consonant,affricate,alveolar-to-bilabial,voiceless,aspirated
tCh,tçʰ,consonant,affricate,alveolar-to-palatal,voiceless,aspirated
tþH,tɕʰ,consonant,affricate,alveolopalatal,voiceless,aspirated
AUTO(pɸ),pɸʰ,consonant,affricate,bilabial,voiceless,aspirated
pSh,pʃʰ,consonant,affricate,bilabial-to-postalveolar,voiceless,aspirated
t5s5h,t̪s̪ʰ,consonant,affricate,dental,voiceless,aspirated
pfH,pfʰ,consonant,affricate,labiodental,voiceless,aspirated
t6þh,t̻ɕʰ,consonant,affricate,laminal-alveolar-to-alveolopalatal,voiceless,aspirated
tÂh,tɬʰ,consonant,affricate,lateral,voiceless,aspirated
cCh,cçʰ,consonant,affricate,palatal,voiceless,aspirated
cþH,cɕʰ,consonant,affricate,palatal-to-alveolopalatal,voiceless,aspirated
