non_ipa,ipa,chart,height/manner,place/color,misc1,misc2
jH,jʰ,consonant,approximant,palatal,voiced,aspirated
g—h,ɡǃʰ,consonant,click,alveolar,voiced,aspirated
g‡h,ɡʘʰ,consonant,click,bilabial,voiced,aspirated
g–h,ɡǀʰ,consonant,click,dental,voiced,aspirated
g„h,ɡǁʰ,consonant,click,lateral,voiced,aspirated
gœh,ɡǂʰ,consonant,click,palatoalveolar,voiced,aspirated
AUTO(ɾ),ɾʰ,consonant,flap,alveolar,voiced,aspirated
}H,ɽʰ,consonant,flap,retroflex,voiced,aspirated
}h,ɽʰ,consonant,flap,retroflex,voiced,aspirated
AUTO(z),zʰ,consonant,fricative,alveolar,voiced,aspirated
vh,vʰ,consonant,fricative,labiodental,voiced,aspirated
AUTO(ʕ),ʕʰ,consonant,fricative,pharyngeal,voiced,aspirated
Zʰ,ʒʰ,consonant,fricative,postalveolar,voiced,aspirated
Zh,ʒʰ,consonant,fricative,postalveolar,voiced,aspirated
Äh,ɣʰ,consonant,fricative,velar,voiced,aspirated
l5h,l̪ʰ,consonant,lateral-approximant,dental,voiced,aspirated
lH,lʰ,consonant,lateral-approximant,lateral,voiced,aspirated
nH,nʰ,consonant,nasal,alveolar,voiced,aspirated
mH,mʰ,consonant,nasal,bilabial,voiced,aspirated
n5h,n̪ʰ,consonant,nasal,dental,voiced,aspirated
øH,ɲʰ,consonant,nasal,palatal,voiced,aspirated
NH,ŋʰ,consonant,nasal,velar,voiced,aspirated
dH,dʰ,consonant,stop,alveolar,voiced,aspirated
dh,dʰ,consonant,stop,alveolar,voiced,aspirated
bH,bʰ,consonant,stop,bilabial,voiced,aspirated
bh,bʰ,consonant,stop,bilabial,voiced,aspirated
d5H,d̪ʰ,consonant,stop,dental,voiced,aspirated
ïh,ɟʰ,consonant,stop,palatal,voiced,aspirated
êH,ɖʰ,consonant,stop,retroflex,voiced,aspirated
êh,ɖʰ,consonant,stop,retroflex,voiced,aspirated
gH,ɡʰ,consonant,stop,velar,voiced,aspirated
rH,rʰ,consonant,trill,alveolar,voiced,aspirated
AUTO(nʰ),nʰʲ,consonant,nasal,alveolar,voiced,aspirated_palatalized
AUTO(wʰ),wʰˠ,consonant,approximant,labiovelar,voiced,aspirated_velarized
NEW_PARAMETER,lɮ,consonant,lateral-approximant,lateral,voiced,fricated
dz',dzʼ,consonant,affricate,alveolar,voiced,glottalized
dz’,dzʼ,consonant,affricate,alveolar,voiced,glottalized
NEW,dʒʼ,consonant,affricate,postalveolar,voiced,glottalized
w',wʼ,consonant,approximant,labiovelar,voiced,glottalized
w/,wʼ,consonant,approximant,labiovelar,voiced,glottalized
w’,wʼ,consonant,approximant,labiovelar,voiced,glottalized
j',jʼ,consonant,approximant,palatal,voiced,glottalized
j/,jʼ,consonant,approximant,palatal,voiced,glottalized
j’,jʼ,consonant,approximant,palatal,voiced,glottalized
NEW,jʼ,consonant,approximant,palatal,voiced,glottalized
å',ɰʼ,consonant,approximant,velar,voiced,glottalized
å’,ɰʼ,consonant,approximant,velar,voiced,glottalized
z',zʼ,consonant,fricative,alveolar,voiced,glottalized
z’,zʼ,consonant,fricative,alveolar,voiced,glottalized
NEW,z̪ʼ,consonant,fricative,dental,voiced,glottalized
Æ',ʝʼ,consonant,fricative,palatal,voiced,glottalized
Æ’,ʝʼ,consonant,fricative,palatal,voiced,glottalized
Ö',ʕʼ,consonant,fricative,pharyngeal,voiced,glottalized
Ö’,ʕʼ,consonant,fricative,pharyngeal,voiced,glottalized
NEW,ʒʼ,consonant,fricative,postalveolar,voiced,glottalized
Ä',ɣʼ,consonant,fricative,velar,voiced,glottalized
Ä’,ɣʼ,consonant,fricative,velar,voiced,glottalized
NEW,ɗʼ,consonant,implosive,alveolar,voiced,glottalized
NEW,ɓʼ,consonant,implosive,bilabial,voiced,glottalized
NEW,ɗ̪ʼ,consonant,implosive,dental,voiced,glottalized
NEW,ɠʼ,consonant,implosive,velar,voiced,glottalized
l5',l̪ʼ,consonant,lateral-approximant,dental,voiced,glottalized
l5’,l̪ʼ,consonant,lateral-approximant,dental,voiced,glottalized
l',lʼ,consonant,lateral-approximant,lateral,voiced,glottalized
l’,lʼ,consonant,lateral-approximant,lateral,voiced,glottalized
n',n’,consonant,nasal,alveolar,voiced,glottalized
n/,n’,consonant,nasal,alveolar,voiced,glottalized
n’,n’,consonant,nasal,alveolar,voiced,glottalized
NEW,nʼ,consonant,nasal,alveolar,voiced,glottalized
m',mʼ,consonant,nasal,bilabial,voiced,glottalized
m/,mʼ,consonant,nasal,bilabial,voiced,glottalized
m’,mʼ,consonant,nasal,bilabial,voiced,glottalized
n5',n̪ʼ,consonant,nasal,dental,voiced,glottalized
n5’,n̪ʼ,consonant,nasal,dental,voiced,glottalized
NEW,ɲʼ,consonant,nasal,palatal,voiced,glottalized
²',ɴʼ,consonant,nasal,uvular,voiced,glottalized
²’,ɴʼ,consonant,nasal,uvular,voiced,glottalized
N',ŋʼ,consonant,nasal,velar,voiced,glottalized
N/,ŋʼ,consonant,nasal,velar,voiced,glottalized
N’,ŋʼ,consonant,nasal,velar,voiced,glottalized
NEW,ŋʼ,consonant,nasal,velar,voiced,glottalized
b',bʼ,consonant,stop,bilabial,voiced,glottalized
b’,bʼ,consonant,stop,bilabial,voiced,glottalized
NEW,ɢʼ,consonant,stop,uvular,voiced,glottalized
r',rʼ,consonant,trill,alveolar,voiced,glottalized
r’,rʼ,consonant,trill,alveolar,voiced,glottalized
{',ʀʼ,consonant,trill,uvular,voiced,glottalized
{’,ʀʼ,consonant,trill,uvular,voiced,glottalized
AUTO(dzʼ),dzʼʷ,consonant,affricate,alveolar,voiced,glottalized_labialized
Ö’w,ʕʼʷ,consonant,fricative,pharyngeal,voiced,glottalized_labialized
Ö'w,ʕʼʷ,consonant,fricative,pharyngeal,voiced,glottalized_labialized
AUTO(ɣʼ),ɣʼʷ,consonant,fricative,velar,voiced,glottalized_labialized
NEW,ɢʼʷ,consonant,stop,uvular,voiced,glottalized_labialized
NEW,ʕ̩ʼʷ,consonant,fricative,pharyngeal,voiced,glottalized_labialized_syllabic
AUTO(l̪ʼ),lʲ̪ʼ,consonant,lateral-approximant,dental,voiced,glottalized_palatalized
AUTO(n̪ʼ),nʲ̪ʼ,consonant,nasal,dental,voiced,glottalized_palatalized
NEW_PARAMETER,ˀn’,consonant,nasal,alveolar,voiced,glottalized_preglottalized
ndl',ⁿdlʼ,consonant,stop,lateral,voiced,glottalized_prenasalized
ndl’,ⁿdlʼ,consonant,stop,lateral,voiced,glottalized_prenasalized
NEW,z̩ʼ,consonant,fricative,alveolar,voiced,glottalized_syllabic
