PK	GRAPHEME	NAME	EXPLICIT	DATASET	FREQUENCY	URL	FEATURES	IMAGE	SOUND	NOTE
44	b͉	weak voiced bilabial stop consonant	+	bipa	0					
45	bβ	voiced bilabial affricate consonant	+	bipa	0					
46	bⁿ	with-nasal-release voiced bilabial stop consonant	+	bipa	0					
47	c	voiceless palatal stop consonant	+	bipa	0					
48	cç	voiceless palatal affricate consonant	+	bipa	0					
49	cçʰ	aspirated voiceless palatal affricate consonant	+	bipa	0					
50	cʰ	aspirated voiceless palatal stop consonant	+	bipa	0					
51	cʼ	voiceless palatal ejective stop consonant	+	bipa	0					
52	cː	long voiceless palatal stop consonant	+	bipa	0					
53	ç	voiceless palatal sibilant fricative consonant	+	bipa	0					
54	d	voiced alveolar stop consonant	+	bipa	0					
55	db	voiced alveolar-and-bilabial stop consonant	+	bipa	0					
56	dg	voiced alveolar-and-velar stop consonant	+	bipa	0					
57	dz	voiced alveolar sibilant affricate consonant	+	bipa	0					
58	dzː	long voiced alveolar sibilant affricate consonant	+	bipa	0					
59	dz̪	voiced dental sibilant affricate consonant	+	bipa	0					
60	dz̪ː	long voiced dental sibilant affricate consonant	+	bipa	0					
61	dz̫	voiced alveolar whistled-sibilant affricate consonant	+	bipa	0					
62	dð	voiced dental affricate consonant	+	bipa	0					
63	dð̠	voiced alveolar affricate consonant	+	bipa	0					
64	dɮ	voiced alveolar lateral affricate consonant	+	bipa	0					
65	dɹ̠˔	voiced post-alveolar affricate consonant	+	bipa	0					
66	dʑ	voiced alveolo-palatal sibilant affricate consonant	+	bipa	0					
67	dʑː	long voiced alveolo-palatal sibilant affricate consonant	+	bipa	0					
68	dʒ	voiced post-alveolar sibilant affricate consonant	+	bipa	0					
69	dʒʱ	breathy voiced post-alveolar sibilant affricate consonant	+	bipa	0					
70	dʒʲ	palatalized voiced post-alveolar sibilant affricate consonant	+	bipa	0					
71	dʒʷ	labialized voiced post-alveolar sibilant affricate consonant	+	bipa	0					
72	dʒː	long voiced post-alveolar sibilant affricate consonant	+	bipa	0					
73	dʒ̊	devoiced voiced alveolar affricate consonant	+	bipa	0					
74	dʰ	aspirated voiced alveolar stop consonant	+	bipa	0					I think, aspirated voiced sounds are always breathy-voiced.
75	dʰː	aspirated long voiced alveolar stop consonant	+	bipa	0					Aspirated voiced is breathy-voice.
76	dʱ	breathy voiced alveolar stop consonant	+	bipa	0					
77	dʱː	long breathy voiced alveolar stop consonant	+	bipa	0					
78	dʲ	palatalized voiced alveolar stop consonant	+	bipa	0					
79	dː	long voiced alveolar stop consonant	+	bipa	0					
80	dˤ	pharyngealized voiced alveolar stop consonant	+	bipa	0					
81	d̙	voiced retracted-tongue-root alveolar stop consonant	+	bipa	0					
82	d̠	voiced post-alveolar stop consonant	+	bipa	0					
83	d̠ʒ̫	voiced post-alveolar whistled-sibilant affricate consonant	+	bipa	0					
84	d̥	devoiced voiced alveolar stop consonant	+	bipa	0					
85	d̥̚	unreleased devoiced voiced alveolar stop consonant	+	bipa	0					
86	d̥ⁿ	with-nasal-release devoiced voiced alveolar stop consonant	+	bipa	0					
87	d̪	voiced dental stop consonant	+	bipa	0					
88	d̪ɮ	voiced dental lateral affricate consonant	+	bipa	0					Put dentality mark on first character for readability.
89	d̪ʱ	breathy voiced dental stop consonant	+	bipa	0					
90	d̪ʱː	long breathy voiced dental stop consonant	+	bipa	0					
