PK	GRAPHEME	NAME	EXPLICIT	DATASET	FREQUENCY	URL	FEATURES	IMAGE	SOUND	NOTE
1778	a̤	breathy unrounded open front vowel	+	bdproto						
1779	ḁ	devoiced unrounded open front vowel	+	bdproto						
1780	ḁ	devoiced unrounded open front vowel	+	bdproto						
1781	a̰	creaky unrounded open front vowel	+	bdproto						
1782	a̰ː	long creaky unrounded open front vowel	+	bdproto						
1783	b	voiced bilabial stop consonant	+	bdproto						
1784	bʰ	aspirated voiced bilabial stop consonant	+	bdproto						
1785	bʲ	palatalized voiced bilabial stop consonant	+	bdproto						
1786	bʷ	labialized voiced bilabial stop consonant	+	bdproto						
1787	bː	long voiced bilabial stop consonant	+	bdproto						
1788	b̤ʰ	aspirated breathy voiced bilabial stop consonant	+	bdproto						
1789	b̥	devoiced voiced bilabial stop consonant	+	bdproto						
1790	c	voiceless palatal stop consonant	+	bdproto						
1791	cç	voiceless palatal affricate consonant	+	bdproto						
1792	c͡ç	voiceless palatal affricate consonant	+	bdproto						
1793	cçʰ	aspirated voiceless palatal affricate consonant	+	bdproto						
1794	cçʼ	voiceless palatal ejective affricate consonant	+	bdproto						
1795	cɕ	voiceless alveolo-palatal sibilant affricate consonant	+	bdproto						
1796	tɕ	voiceless alveolo-palatal sibilant affricate consonant	+	bdproto						
1797	cʰ	aspirated voiceless palatal stop consonant	+	bdproto						
1798	cʼ	voiceless palatal ejective stop consonant	+	bdproto						
1799	c’	voiceless palatal ejective stop consonant	+	bdproto						
1800	cˀ	glottalized voiceless palatal stop consonant	+	bdproto						
1801	cː	long voiceless palatal stop consonant	+	bdproto						
1802	c̟	advanced voiceless palatal stop consonant	+	bdproto						
1803	c̟ʰ	advanced aspirated voiceless palatal stop consonant	+	bdproto						
1804	c̟ʼ	advanced voiceless palatal ejective stop consonant	+	bdproto						
1805	cç	voiceless palatal affricate consonant	+	bdproto						
1806	c͡ç	voiceless palatal affricate consonant	+	bdproto						
1807	cʼ	voiceless palatal ejective stop consonant	+	bdproto						
1808	c’	voiceless palatal ejective stop consonant	+	bdproto						
1809	d	voiced alveolar stop consonant	+	bdproto						
1810	dz	voiced alveolar sibilant affricate consonant	+	bdproto						
1811	d͡z	voiced alveolar sibilant affricate consonant	+	bdproto						
1812	ʣ	voiced alveolar sibilant affricate consonant	+	bdproto						
1813	dzʲ	palatalized voiced alveolar sibilant affricate consonant	+	bdproto						
1814	d͡zʲ	palatalized voiced alveolar sibilant affricate consonant	+	bdproto						
1815	dz̪	voiced dental sibilant affricate consonant	+	bdproto						
1816	dɮ	voiced alveolar lateral affricate consonant	+	bdproto						
1817	d͡ɮ	voiced alveolar lateral affricate consonant	+	bdproto						
1818	dʐ	voiced retroflex sibilant affricate consonant	+	bdproto						
1819	d͡ʐ	voiced retroflex sibilant affricate consonant	+	bdproto						
1820	ɖʐ	voiced retroflex sibilant affricate consonant	+	bdproto						
1821	dʑ	voiced alveolo-palatal sibilant affricate consonant	+	bdproto						
1822	dʓ	voiced post-alveolar sibilant affricate consonant	+	bdproto						
1823	d̠ʒ	voiced post-alveolar sibilant affricate consonant	+	bdproto						
1824	d͡ʒ	voiced post-alveolar sibilant affricate consonant	+	bdproto						
1825	ʤ	voiced post-alveolar sibilant affricate consonant	+	bdproto						
1826	dʓʱ	breathy voiced post-alveolar sibilant affricate consonant	+	bdproto						
1827	dʰ	aspirated voiced alveolar stop consonant	+	bdproto						
1828	dʲ	palatalized voiced alveolar stop consonant	+	bdproto						
1829	dʼ	voiced alveolar ejective stop consonant	+	bdproto						
1830	dː	long voiced alveolar stop consonant	+	bdproto						
1831	dˤ	pharyngealized voiced alveolar stop consonant	+	bdproto						
1832	dʓ	voiced post-alveolar sibilant affricate consonant	+	bdproto						
1833	d̠ʒ	voiced post-alveolar sibilant affricate consonant	+	bdproto						
1834	d͡ʒ	voiced post-alveolar sibilant affricate consonant	+	bdproto						
1835	ʤ	voiced post-alveolar sibilant affricate consonant	+	bdproto						
1836	d̠ʒʷ	labialized voiced post-alveolar sibilant affricate consonant	+	bdproto						
1837	d̠ʲ	palatalized voiced post-alveolar stop consonant	+	bdproto						
1838	d̤ʰ	aspirated breathy voiced alveolar stop consonant	+	bdproto						
1839	d̥	devoiced voiced alveolar stop consonant	+	bdproto						
1840	d̪	voiced dental stop consonant	+	bdproto						
1841	d̪ð̪	voiced dental affricate consonant	+	bdproto						
1842	d̪ː	long voiced dental stop consonant	+	bdproto						
1843	d̪ˤ	pharyngealized voiced dental stop consonant	+	bdproto						
1844	d̪ˤː	pharyngealized long voiced dental stop consonant	+	bdproto						
1845	dz	voiced alveolar sibilant affricate consonant	+	bdproto						
1846	d͡z	voiced alveolar sibilant affricate consonant	+	bdproto						
1847	ʣ	voiced alveolar sibilant affricate consonant	+	bdproto						
1848	dzʲ	palatalized voiced alveolar sibilant affricate consonant	+	bdproto						
1849	d͡zʲ	palatalized voiced alveolar sibilant affricate consonant	+	bdproto						
1850	dɮ	voiced alveolar lateral affricate consonant	+	bdproto						
1851	d͡ɮ	voiced alveolar lateral affricate consonant	+	bdproto						
1852	dʐ	voiced retroflex sibilant affricate consonant	+	bdproto						
1853	d͡ʐ	voiced retroflex sibilant affricate consonant	+	bdproto						
1854	ɖʐ	voiced retroflex sibilant affricate consonant	+	bdproto						
1855	dʓ	voiced post-alveolar sibilant affricate consonant	+	bdproto						
1856	d̠ʒ	voiced post-alveolar sibilant affricate consonant	+	bdproto						
1857	d͡ʒ	voiced post-alveolar sibilant affricate consonant	+	bdproto						
1858	ʤ	voiced post-alveolar sibilant affricate consonant	+	bdproto						
1859	e	unrounded close-mid front vowel	+	bdproto						
1860	ea	from unrounded close-mid front to unrounded open front diphthong	+	bdproto						
1861	ei	from unrounded close-mid front to unrounded close front diphthong	+	bdproto						
1862	ej	from unrounded close-mid front to non-syllabic unrounded close front diphthong	+	bdproto						
1863	eu	from unrounded close-mid front to rounded close back diphthong	+	bdproto						
1864	ew	from unrounded close-mid front to non-syllabic rounded close back diphthong	+	bdproto						
1865	eː	long unrounded close-mid front vowel	+	bdproto						
1866	eˑ	mid-long unrounded close-mid front vowel	+	bdproto						
1867	ẽ	nasalized unrounded close-mid front vowel	+	bdproto						
1868	ẽ	nasalized unrounded close-mid front vowel	+	bdproto						
1869	ẽː	long nasalized unrounded close-mid front vowel	+	bdproto						
1870	ẽː	long nasalized unrounded close-mid front vowel	+	bdproto						
1871	ĕ	ultra-short unrounded close-mid front vowel	+	bdproto						
1872	e̘	advanced-tongue-root unrounded close-mid front vowel	+	bdproto						
1873	e̤	breathy unrounded close-mid front vowel	+	bdproto						
1874	e̥	devoiced unrounded close-mid front vowel	+	bdproto						
1875	f	voiceless labio-dental fricative consonant	+	bdproto						
1876	fː	long voiceless labio-dental fricative consonant	+	bdproto						
1877	g	voiced velar stop consonant	+	bdproto						
1878	ɡ	voiced velar stop consonant	+	bdproto						
1879	gʷː	labialized long voiced velar stop consonant	+	bdproto						
1880	gː	long voiced velar stop consonant	+	bdproto						
1881	ɡː	long voiced velar stop consonant	+	bdproto						
1882	h	voiceless glottal fricative consonant	+	bdproto						
1883	hk	pre-aspirated voiceless velar stop consonant	+	bdproto						
1884	ʰk	pre-aspirated voiceless velar stop consonant	+	bdproto						
1885	hl	pre-aspirated voiced alveolar lateral approximant consonant	+	bdproto						
1886	ʰl	pre-aspirated voiced alveolar lateral approximant consonant	+	bdproto						
1887	hm	pre-aspirated voiced bilabial nasal consonant	+	bdproto						
1888	ʰm	pre-aspirated voiced bilabial nasal consonant	+	bdproto						
1889	hn	pre-aspirated voiced alveolar nasal consonant	+	bdproto						
1890	ʰn	pre-aspirated voiced alveolar nasal consonant	+	bdproto						
1891	hp	pre-aspirated voiceless bilabial stop consonant	+	bdproto						
1892	ʰp	pre-aspirated voiceless bilabial stop consonant	+	bdproto						
1893	hr	pre-aspirated voiced alveolar trill consonant	+	bdproto						
1894	ht	pre-aspirated voiceless alveolar stop consonant	+	bdproto						
1895	ʰt	pre-aspirated voiceless alveolar stop consonant	+	bdproto						
1896	hts	pre-aspirated voiceless alveolar sibilant affricate consonant	+	bdproto						
1897	htɕ	pre-aspirated voiceless alveolo-palatal sibilant affricate consonant	+	bdproto						
1898	htʂ	pre-aspirated voiceless retroflex sibilant affricate consonant	+	bdproto						
1899	ht̠ʃ	pre-aspirated voiceless post-alveolar sibilant affricate consonant	+	bdproto						
1900	hw	pre-aspirated voiced labio-velar approximant consonant	+	bdproto						
1901	ʰw	pre-aspirated voiced labio-velar approximant consonant	+	bdproto						
1902	hŋ	pre-aspirated voiced velar nasal consonant	+	bdproto						
1903	ʰŋ	pre-aspirated voiced velar nasal consonant	+	bdproto						
1904	hʷ	labialized voiceless glottal fricative consonant	+	bdproto						
1905	hˀ	glottalized voiceless glottal fricative consonant	+	bdproto						
1906	hː	long voiceless glottal fricative consonant	+	bdproto						
1907	i	unrounded close front vowel	+	bdproto						
1908	ia	from unrounded close front to unrounded open front diphthong	+	bdproto						
1909	ie	from unrounded close front to unrounded close-mid front diphthong	+	bdproto						
1910	iu	from unrounded close front to rounded close back diphthong	+	bdproto						
1911	iə	from unrounded close front to unrounded mid central diphthong	+	bdproto						
1912	iɛ	from unrounded close front to unrounded open-mid front diphthong	+	bdproto						
1913	iː	long unrounded close front vowel	+	bdproto						
1914	iˑ	mid-long unrounded close front vowel	+	bdproto						
1915	ĩ	nasalized unrounded close front vowel	+	bdproto						
1916	ĩ	nasalized unrounded close front vowel	+	bdproto						
1917	ĩː	long nasalized unrounded close front vowel	+	bdproto						
1918	ĩː	long nasalized unrounded close front vowel	+	bdproto						
1919	i̘	advanced-tongue-root unrounded close front vowel	+	bdproto						
1920	ĩ̘	advanced-tongue-root nasalized unrounded close front vowel	+	bdproto						
1921	i̝	raised unrounded close front vowel	+	bdproto						
1922	i̤	breathy unrounded close front vowel	+	bdproto						
1923	i̥	devoiced unrounded close front vowel	+	bdproto						
1924	j	voiced palatal approximant consonant	+	bdproto						
1925	ja	from non-syllabic unrounded close front to unrounded open front diphthong	+	bdproto						
1926	je	from non-syllabic unrounded close front to unrounded close-mid front diphthong	+	bdproto						
1927	jʼ	voiced palatal ejective approximant consonant	+	bdproto						
1928	jˀ	glottalized voiced palatal approximant consonant	+	bdproto						
1929	jː	long voiced palatal approximant consonant	+	bdproto						
1930	j̥	devoiced voiced palatal approximant consonant	+	bdproto						
1931	jẽ	from non-syllabic unrounded close front to nasalized unrounded close-mid front diphthong	+	bdproto						
1932	K	voiceless velar stop consonant	+	bdproto						
1933	k	voiceless velar stop consonant	+	bdproto						
1934	k​	voiceless velar stop consonant	+	bdproto						
1935	kh	aspirated voiceless velar stop consonant	+	bdproto						
1936	kʰ	aspirated voiceless velar stop consonant	+	bdproto						
1937	khl	aspirated with-lateral-release voiceless velar stop consonant	+	bdproto						
1938	kk	long voiceless velar stop consonant	+	bdproto						
1939	kː	long voiceless velar stop consonant	+	bdproto						
1940	kl	with-lateral-release voiceless velar stop consonant	+	bdproto						
1941	kp	voiceless velar-and-bilabial stop consonant	+	bdproto						
1942	kpʰ	aspirated voiceless velar-and-bilabial stop consonant	+	bdproto						
1943	kxʼ	voiceless velar ejective affricate consonant	+	bdproto						
1944	kh	aspirated voiceless velar stop consonant	+	bdproto						
1945	kʰ	aspirated voiceless velar stop consonant	+	bdproto						
1946	kʰʷ	labialized aspirated voiceless velar stop consonant	+	bdproto						
1947	kʷʰ	labialized aspirated voiceless velar stop consonant	+	bdproto						
1948	kʲ	palatalized voiceless velar stop consonant	+	bdproto						
1949	kʸ	palatalized voiceless velar stop consonant	+	bdproto						
1950	kʲʰ	palatalized aspirated voiceless velar stop consonant	+	bdproto						
1951	kʲʷ	palatalized labialized voiceless velar stop consonant	+	bdproto						
1952	kʲʼ	palatalized voiceless velar ejective stop consonant	+	bdproto						
1953	kʷ	labialized voiceless velar stop consonant	+	bdproto						
1954	k​ʷ​	labialized voiceless velar stop consonant	+	bdproto						
1955	kʰʷ	labialized aspirated voiceless velar stop consonant	+	bdproto						
1956	kʷʰ	labialized aspirated voiceless velar stop consonant	+	bdproto						
1957	kʷʼ	labialized voiceless velar ejective stop consonant	+	bdproto						
1958	kʼʷ	labialized voiceless velar ejective stop consonant	+	bdproto						
1959	kʷˀ	labialized glottalized voiceless velar stop consonant	+	bdproto						
1960	kˀʷ	labialized glottalized voiceless velar stop consonant	+	bdproto						
1961	kʷː	labialized long voiceless velar stop consonant	+	bdproto						
1962	kʲ	palatalized voiceless velar stop consonant	+	bdproto						
1963	kʸ	palatalized voiceless velar stop consonant	+	bdproto						
1964	kʼ	voiceless velar ejective stop consonant	+	bdproto						
1965	k’	voiceless velar ejective stop consonant	+	bdproto						
1966	kʷʼ	labialized voiceless velar ejective stop consonant	+	bdproto						
1967	kʼʷ	labialized voiceless velar ejective stop consonant	+	bdproto						
1968	kʼː	long voiceless velar ejective stop consonant	+	bdproto						
1969	kˀ	glottalized voiceless velar stop consonant	+	bdproto						
1970	kʷˀ	labialized glottalized voiceless velar stop consonant	+	bdproto						
1971	kˀʷ	labialized glottalized voiceless velar stop consonant	+	bdproto						
1972	kˁ	pharyngealized voiceless velar stop consonant	+	bdproto						
1973	kk	long voiceless velar stop consonant	+	bdproto						
1974	kː	long voiceless velar stop consonant	+	bdproto						
1975	k̰	creaky voiceless velar stop consonant	+	bdproto						
1976	K	voiceless velar stop consonant	+	bdproto						
1977	k	voiceless velar stop consonant	+	bdproto						
1978	k​	voiceless velar stop consonant	+	bdproto						
1979	kʷ	labialized voiceless velar stop consonant	+	bdproto						
1980	k​ʷ​	labialized voiceless velar stop consonant	+	bdproto						
1981	kʼ	voiceless velar ejective stop consonant	+	bdproto						
1982	k’	voiceless velar ejective stop consonant	+	bdproto						
1983	L	voiced alveolar lateral approximant consonant	+	bdproto						
1984	l	voiced alveolar lateral approximant consonant	+	bdproto						
1985	lʲ	palatalized voiced alveolar lateral approximant consonant	+	bdproto						
1986	lʼ	voiced alveolar ejective lateral approximant consonant	+	bdproto						
1987	lˀ	glottalized voiced alveolar lateral approximant consonant	+	bdproto						
1988	lː	long voiced alveolar lateral approximant consonant	+	bdproto						
1989	l̠ʲ	palatalized voiced post-alveolar lateral approximant consonant	+	bdproto						
1990	l̤	breathy voiced alveolar lateral approximant consonant	+	bdproto						
1991	l̥	devoiced voiced alveolar lateral approximant consonant	+	bdproto						
1992	l̪	voiced dental lateral approximant consonant	+	bdproto						
1993	l̪ː	long voiced dental lateral approximant consonant	+	bdproto						
1994	m	voiced bilabial nasal consonant	+	bdproto						
1995	mb	pre-nasalized voiced bilabial stop consonant	+	bdproto						
1996	ᵐb	pre-nasalized voiced bilabial stop consonant	+	bdproto						
1997	mbʷ	pre-nasalized labialized voiced bilabial stop consonant	+	bdproto						
1998	mp	pre-nasalized voiceless bilabial stop consonant	+	bdproto						
1999	ᵐp	pre-nasalized voiceless bilabial stop consonant	+	bdproto						
2000	mph	pre-nasalized aspirated voiceless bilabial stop consonant	+	bdproto						
2001	mʰ	aspirated voiced bilabial nasal consonant	+	bdproto						
2002	mʲ	palatalized voiced bilabial nasal consonant	+	bdproto						
2003	mʷ	labialized voiced bilabial nasal consonant	+	bdproto						
2004	mʷʼ	labialized voiced bilabial ejective nasal consonant	+	bdproto						
2005	mʼ	voiced bilabial ejective nasal consonant	+	bdproto						
2006	mˀ	glottalized voiced bilabial nasal consonant	+	bdproto						
2007	mː	long voiced bilabial nasal consonant	+	bdproto						
2008	mˠ	velarized voiced bilabial nasal consonant	+	bdproto						
2009	m̤	breathy voiced bilabial nasal consonant	+	bdproto						
2010	m̥	devoiced voiced bilabial nasal consonant	+	bdproto						
2011	N	voiced alveolar nasal consonant	+	bdproto						
2012	n	voiced alveolar nasal consonant	+	bdproto						
2013	nd	pre-nasalized voiced alveolar stop consonant	+	bdproto						
2014	ⁿd	pre-nasalized voiced alveolar stop consonant	+	bdproto						
2015	ndz	pre-nasalized voiced alveolar sibilant affricate consonant	+	bdproto						
2016	ⁿdz	pre-nasalized voiced alveolar sibilant affricate consonant	+	bdproto						
2017	ndʐ	pre-nasalized voiced retroflex sibilant affricate consonant	+	bdproto						
2018	ndʑ	pre-nasalized voiced alveolo-palatal sibilant affricate consonant	+	bdproto						
2019	nd̠ʒ	pre-nasalized voiced post-alveolar affricate consonant	+	bdproto						
2020	ns	pre-nasalized voiceless alveolar sibilant fricative consonant	+	bdproto						
2021	nt	pre-nasalized voiceless alveolar stop consonant	+	bdproto						
2022	ⁿt	pre-nasalized voiceless alveolar stop consonant	+	bdproto						
2023	nth	pre-nasalized aspirated voiceless alveolar stop consonant	+	bdproto						
2024	nts	pre-nasalized voiceless alveolar sibilant affricate consonant	+	bdproto						
2025	ⁿts	pre-nasalized voiceless alveolar sibilant affricate consonant	+	bdproto						
2026	ntsh	pre-nasalized aspirated voiceless alveolar sibilant affricate consonant	+	bdproto						
2027	ntɕh	pre-nasalized aspirated voiceless alveolo-palatal sibilant affricate consonant	+	bdproto						
2028	ntʂh	pre-nasalized aspirated voiceless retroflex sibilant affricate consonant	+	bdproto						
2029	nt̠ʃ	pre-nasalized voiceless post-alveolar sibilant affricate consonant	+	bdproto						
2030	nz	pre-nasalized voiced alveolar sibilant fricative consonant	+	bdproto						
2031	nð	pre-nasalized voiced dental fricative consonant	+	bdproto						
2032	nǂ	pre-nasalized voiceless palatal click consonant	+	bdproto						
2033	n̥ǂ	pre-nasalized voiceless palatal click consonant	+	bdproto						
2034	nǃ	pre-nasalized voiceless alveolar click consonant	+	bdproto						
2035	n̥ǃ	pre-nasalized voiceless alveolar click consonant	+	bdproto						
2036	nɟ̟	advanced pre-nasalized voiced palatal stop consonant	+	bdproto						
2037	nʲ	palatalized voiced alveolar nasal consonant	+	bdproto						
2038	nʼ	voiced alveolar ejective nasal consonant	+	bdproto						
2039	nˀ	glottalized voiced alveolar nasal consonant	+	bdproto						
2040	nː	long voiced alveolar nasal consonant	+	bdproto						
2041	n̠ʲ	retracted palatalized voiced alveolar nasal consonant	+	bdproto						
2042	n̤	breathy voiced alveolar nasal consonant	+	bdproto						
2043	n̥	devoiced voiced alveolar nasal consonant	+	bdproto						
2044	n̥ǀ	pre-nasalized voiceless dental click consonant	+	bdproto						
2045	n̥ǁ	pre-nasalized voiceless alveolar lateral click consonant	+	bdproto						
2046	nǂ	pre-nasalized voiceless palatal click consonant	+	bdproto						
2047	n̥ǂ	pre-nasalized voiceless palatal click consonant	+	bdproto						
2048	nǃ	pre-nasalized voiceless alveolar click consonant	+	bdproto						
2049	n̥ǃ	pre-nasalized voiceless alveolar click consonant	+	bdproto						
2050	n̪	voiced dental nasal consonant	+	bdproto						
2051	n̪ː	long voiced dental nasal consonant	+	bdproto						
2052	n̻	voiced laminal alveolar nasal consonant	+	bdproto						
2053	o	rounded close-mid back vowel	+	bdproto						
2054	o:	long rounded close-mid back vowel	+	bdproto						
2055	oː	long rounded close-mid back vowel	+	bdproto						
2056	oa	from rounded close-mid back to unrounded open front diphthong	+	bdproto						
2057	oi	from rounded close-mid back to unrounded close front diphthong	+	bdproto						
2058	ou	from rounded close-mid back to rounded close back diphthong	+	bdproto						
2059	ow	from rounded close-mid back to non-syllabic rounded close back diphthong	+	bdproto						
2060	o:	long rounded close-mid back vowel	+	bdproto						
2061	oː	long rounded close-mid back vowel	+	bdproto						
2062	oˑ	mid-long rounded close-mid back vowel	+	bdproto						
2063	õ	nasalized rounded close-mid back vowel	+	bdproto						
2064	õ	nasalized rounded close-mid back vowel	+	bdproto						
2065	õː	long nasalized rounded close-mid back vowel	+	bdproto						
2066	õː	long nasalized rounded close-mid back vowel	+	bdproto						
2067	o̘	advanced-tongue-root rounded close-mid back vowel	+	bdproto						
2068	o̞	rounded mid back vowel	+	bdproto						
2069	o̤	breathy rounded close-mid back vowel	+	bdproto						
2070	o̥	devoiced rounded close-mid back vowel	+	bdproto						
2071	p	voiceless bilabial stop consonant	+	bdproto						
2072	p​	voiceless bilabial stop consonant	+	bdproto						
2073	ph	aspirated voiceless bilabial stop consonant	+	bdproto						
2074	pʰ	aspirated voiceless bilabial stop consonant	+	bdproto						
2075	p​ʰ​	aspirated voiceless bilabial stop consonant	+	bdproto						
2076	pl	with-lateral-release voiceless bilabial stop consonant	+	bdproto						
2077	ph	aspirated voiceless bilabial stop consonant	+	bdproto						
2078	pʰ	aspirated voiceless bilabial stop consonant	+	bdproto						
2079	p​ʰ​	aspirated voiceless bilabial stop consonant	+	bdproto						
2080	pʲ	palatalized voiceless bilabial stop consonant	+	bdproto						
2081	pʷ	labialized voiceless bilabial stop consonant	+	bdproto						
2082	pʼ	voiceless bilabial ejective stop consonant	+	bdproto						
2083	pˀ	glottalized voiceless bilabial stop consonant	+	bdproto						
2084	pː	long voiceless bilabial stop consonant	+	bdproto						
2085	pːʷ	labialized long voiceless bilabial stop consonant	+	bdproto						
2086	p̰	creaky voiceless bilabial stop consonant	+	bdproto						
2087	p	voiceless bilabial stop consonant	+	bdproto						
2088	p​	voiceless bilabial stop consonant	+	bdproto						
2089	ph	aspirated voiceless bilabial stop consonant	+	bdproto						
2090	pʰ	aspirated voiceless bilabial stop consonant	+	bdproto						
2091	p​ʰ​	aspirated voiceless bilabial stop consonant	+	bdproto						
2092	q	voiceless uvular stop consonant	+	bdproto						
2093	qʰ	aspirated voiceless uvular stop consonant	+	bdproto						
2094	qʷ	labialized voiceless uvular stop consonant	+	bdproto						
2095	qʷʼ	labialized voiceless uvular ejective stop consonant	+	bdproto						
2096	qʼ	voiceless uvular ejective stop consonant	+	bdproto						
2097	qˀ	glottalized voiceless uvular stop consonant	+	bdproto						
2098	qˀʷ	labialized glottalized voiceless uvular stop consonant	+	bdproto						
2099	qː	long voiceless uvular stop consonant	+	bdproto						
2100	R	voiced alveolar trill consonant	+	bdproto						
2101	r	voiced alveolar trill consonant	+	bdproto						
2102	r ̩	syllabic voiced alveolar trill consonant	+	bdproto						
2103	rr	long voiced alveolar trill consonant	+	bdproto						
2104	rː	long voiced alveolar trill consonant	+	bdproto						
2105	rʲ	palatalized voiced alveolar trill consonant	+	bdproto						
2106	rʼ	voiced alveolar ejective trill consonant	+	bdproto						
2107	rˀ	glottalized voiced alveolar trill consonant	+	bdproto						
2108	rr	long voiced alveolar trill consonant	+	bdproto						
2109	rː	long voiced alveolar trill consonant	+	bdproto						
2110	r̠ʲ	retracted palatalized voiced alveolar trill consonant	+	bdproto						
2111	r̥	devoiced voiced alveolar trill consonant	+	bdproto						
2112	r̪	voiced dental trill consonant	+	bdproto						
2113	r̪ː	long voiced dental trill consonant	+	bdproto						
2114	s	voiceless alveolar sibilant fricative consonant	+	bdproto						
2115	sʰ	aspirated voiceless alveolar sibilant fricative consonant	+	bdproto						
2116	sʲ	palatalized voiceless alveolar sibilant fricative consonant	+	bdproto						
2117	sʲ​	palatalized voiceless alveolar sibilant fricative consonant	+	bdproto						
2118	sʲ	palatalized voiceless alveolar sibilant fricative consonant	+	bdproto						
2119	sʲ​	palatalized voiceless alveolar sibilant fricative consonant	+	bdproto						
2120	sʼ	voiceless alveolar ejective sibilant fricative consonant	+	bdproto						
2121	s’	voiceless alveolar ejective sibilant fricative consonant	+	bdproto						
2122	sˁ	pharyngealized voiceless alveolar sibilant fricative consonant	+	bdproto						
2123	sˁː	pharyngealized long voiceless alveolar sibilant fricative consonant	+	bdproto						
2124	sː	long voiceless alveolar sibilant fricative consonant	+	bdproto						
2125	s̪	voiceless dental sibilant fricative consonant	+	bdproto						
2126	s̪ː	long voiceless dental sibilant fricative consonant	+	bdproto						
2127	s̺	voiceless apical alveolar sibilant fricative consonant	+	bdproto						
2128	s̺ː	long voiceless apical alveolar sibilant fricative consonant	+	bdproto						
2129	sʼ	voiceless alveolar ejective sibilant fricative consonant	+	bdproto						
2130	s’	voiceless alveolar ejective sibilant fricative consonant	+	bdproto						
2131	t	voiceless alveolar stop consonant	+	bdproto						
2132	th	aspirated voiceless alveolar stop consonant	+	bdproto						
2133	tʰ	aspirated voiceless alveolar stop consonant	+	bdproto						
2134	tj	palatalized voiceless alveolar stop consonant	+	bdproto						
2135	tʲ	palatalized voiceless alveolar stop consonant	+	bdproto						
2136	tl	with-lateral-release voiceless alveolar stop consonant	+	bdproto						
2137	ts	voiceless alveolar sibilant affricate consonant	+	bdproto						
2138	t͡s	voiceless alveolar sibilant affricate consonant	+	bdproto						
2139	ʦ	voiceless alveolar sibilant affricate consonant	+	bdproto						
2140	tsh	aspirated voiceless alveolar sibilant affricate consonant	+	bdproto						
2141	tsʰ	aspirated voiceless alveolar sibilant affricate consonant	+	bdproto						
2142	t͡sʰ	aspirated voiceless alveolar sibilant affricate consonant	+	bdproto						
2143	ʦ​ʰ​	aspirated voiceless alveolar sibilant affricate consonant	+	bdproto						
2144	tsh	aspirated voiceless alveolar sibilant affricate consonant	+	bdproto						
2145	tsʰ	aspirated voiceless alveolar sibilant affricate consonant	+	bdproto						
2146	t͡sʰ	aspirated voiceless alveolar sibilant affricate consonant	+	bdproto						
2147	ʦ​ʰ​	aspirated voiceless alveolar sibilant affricate consonant	+	bdproto						
2148	tsʲ	palatalized voiceless alveolar sibilant affricate consonant	+	bdproto						
2149	t͡sʲ	palatalized voiceless alveolar sibilant affricate consonant	+	bdproto						
2150	tsʼ	voiceless alveolar ejective sibilant affricate consonant	+	bdproto						
2151	t͡sʼ	voiceless alveolar ejective sibilant affricate consonant	+	bdproto						
2152	ʦʼ	voiceless alveolar ejective sibilant affricate consonant	+	bdproto						
2153	ʦ’	voiceless alveolar ejective sibilant affricate consonant	+	bdproto						
2154	tsˀ	glottalized voiceless alveolar sibilant affricate consonant	+	bdproto						
2155	tsː	long voiceless alveolar sibilant affricate consonant	+	bdproto						
2156	ʦː	long voiceless alveolar sibilant affricate consonant	+	bdproto						
2157	ts̪	voiceless dental sibilant affricate consonant	+	bdproto						
2158	ts̪ʼ	voiceless dental ejective sibilant affricate consonant	+	bdproto						
2159	ts̺	voiceless apical alveolar sibilant affricate consonant	+	bdproto						
2160	tt	long voiceless alveolar stop consonant	+	bdproto						
2161	tː	long voiceless alveolar stop consonant	+	bdproto						
2162	cɕ	voiceless alveolo-palatal sibilant affricate consonant	+	bdproto						
2163	tɕ	voiceless alveolo-palatal sibilant affricate consonant	+	bdproto						
2164	tɕh	aspirated voiceless alveolo-palatal sibilant affricate consonant	+	bdproto						
2165	tɕʰ	aspirated voiceless alveolo-palatal sibilant affricate consonant	+	bdproto						
2166	t͡ɕʰ	aspirated voiceless alveolo-palatal sibilant affricate consonant	+	bdproto						
2167	tɕh	aspirated voiceless alveolo-palatal sibilant affricate consonant	+	bdproto						
2168	tɕʰ	aspirated voiceless alveolo-palatal sibilant affricate consonant	+	bdproto						
2169	t͡ɕʰ	aspirated voiceless alveolo-palatal sibilant affricate consonant	+	bdproto						
2170	tɕʲ	palatalized voiceless alveolo-palatal sibilant affricate consonant	+	bdproto						
2171	tɬ	voiceless alveolar lateral affricate consonant	+	bdproto						
2172	tɬʰ	aspirated voiceless alveolar lateral affricate consonant	+	bdproto						
2173	t͡ɬʰ	aspirated voiceless alveolar lateral affricate consonant	+	bdproto						
2174	tɬʼ	voiceless alveolar ejective lateral affricate consonant	+	bdproto						
2175	t͡ɬʼ	voiceless alveolar ejective lateral affricate consonant	+	bdproto						
2176	tɬː	long voiceless alveolar lateral affricate consonant	+	bdproto						
2177	tʂ	voiceless retroflex sibilant affricate consonant	+	bdproto						
2178	t͡ʂ	voiceless retroflex sibilant affricate consonant	+	bdproto						
2179	ʈʂ	voiceless retroflex sibilant affricate consonant	+	bdproto						
2180	ṭṣ	voiceless retroflex sibilant affricate consonant	+	bdproto						
2181	tʂh	aspirated voiceless retroflex sibilant affricate consonant	+	bdproto						
