Grapheme	Name	Alias	advancedTongueRoot	anterior	approximant	back	click	consonantal	constrictedGlottis	continuant	coronal	delayedRelease	distributed	dorsal	epilaryngealSource	fortis	front	high	labial	labiodental	lateral	long	low	loweredLarynxImplosive	nasal	periodicGlottalSource	raisedLarynxEjective	retractedTongueRoot	round	short	sonorant	spreadGlottis	stress	strident	syllabic	tap	tense	tone	trill
aʲː	latin small letter a - modifier letter small j - modifier letter triangular colon		-	0	+	-	0	-	-	+	-	0	0	+	-	0	+	+	-	0	-	+	-	-	-	+	-	-	0	-	+	-	-	0	+	-	0	0	-
aˀ	latin small letter a - modifier letter glottal stop		-	0	+	-	0	-	+	+	-	0	0	+	-	0	-	-	-	0	-	-	+	-	-	+	-	-	0	-	+	-	-	0	+	-	0	0	-
aː	latin small letter a - modifier letter triangular colon		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	-	-	0	-	+	+	-	-	+	-	-	0	-	+	-	-	0	+	-	0	0	-
aˑ	latin small letter a - modifier letter half triangular colon		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	-	-	0	-	+	+	-	-	+	-	-	0	+	+	-	-	0	+	-	0	0	-
a˞	latin small letter a - modifier letter rhotic hook		-	+	+	-	0	-	-	+	+	0	+	+	-	0	-	-	-	0	-	-	+	-	-	+	-	-	0	-	+	-	-	+	+	-	0	0	-
a˞ː	latin small letter a - modifier letter rhotic hook - modifier letter triangular colon		-	+	+	-	0	-	-	+	+	0	+	+	-	0	-	-	-	0	-	+	+	-	-	+	-	-	0	-	+	-	-	+	+	-	0	0	-
a˞ˤ	latin small letter a - modifier letter rhotic hook - modifier letter small reversed glottal stop		-	+	+	-	0	-	-	+	+	0	+	+	-	0	-	-	-	0	-	-	+	-	-	+	-	+	0	-	+	-	-	+	+	-	0	0	-
aˠ	latin small letter a - modifier letter small gamma		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	+	-	0	-	-	-	-	-	+	-	-	0	-	+	-	-	0	+	-	0	0	-
aˤ	latin small letter a - modifier letter small reversed glottal stop		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	-	-	0	-	-	+	-	-	+	-	+	0	-	+	-	-	0	+	-	0	0	-
aˤː	latin small letter a - modifier letter small reversed glottal stop - modifier letter triangular colon		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	-	-	0	-	+	+	-	-	+	-	+	0	-	+	-	-	0	+	-	0	0	-
ã	latin small letter a - combining tilde		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	-	-	0	-	-	+	-	+	+	-	-	0	-	+	-	-	0	+	-	0	0	-
ãʲ	latin small letter a - combining tilde - modifier letter small j		-	0	+	-	0	-	-	+	-	0	0	+	-	0	+	+	-	0	-	-	-	-	+	+	-	-	0	-	+	-	-	0	+	-	0	0	-
ãː	latin small letter a - combining tilde - modifier letter triangular colon		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	-	-	0	-	+	+	-	+	+	-	-	0	-	+	-	-	0	+	-	0	0	-
ãˤ	latin small letter a - combining tilde - modifier letter small reversed glottal stop		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	-	-	0	-	-	+	-	+	+	-	+	0	-	+	-	-	0	+	-	0	0	-
ãˤː	latin small letter a - combining tilde - modifier letter small reversed glottal stop - modifier letter triangular colon		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	-	-	0	-	+	+	-	+	+	-	+	0	-	+	-	-	0	+	-	0	0	-
ã̈	latin small letter a - combining tilde - combining diaeresis		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	-	-	0	-	-	+	-	+	+	-	-	0	-	+	-	-	0	+	-	0	0	-
ã̈ː	latin small letter a - combining tilde - combining diaeresis - modifier letter triangular colon		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	-	-	0	-	+	+	-	+	+	-	-	0	-	+	-	-	0	+	-	0	0	-
ă	latin small letter a - combining breve		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	-	-	0	-	-	+	-	-	+	-	-	0	+	+	-	-	0	+	-	0	0	-
ẵ	latin small letter a - combining breve - combining tilde		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	-	-	0	-	-	+	-	+	+	-	-	0	+	+	-	-	0	+	-	0	0	-
ä	latin small letter a - combining diaeresis		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	-	-	0	-	-	+	-	-	+	-	-	0	-	+	-	-	0	+	-	0	0	-
äː	latin small letter a - combining diaeresis - modifier letter triangular colon		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	-	-	0	-	+	+	-	-	+	-	-	0	-	+	-	-	0	+	-	0	0	-
å	latin small letter a - combining ring above		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	-	-	0	-	-	+	-	-	-	-	-	0	-	+	-	-	0	+	-	0	0	-
a̙	latin small letter a - combining right tack below		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	-	-	0	-	-	+	-	-	+	-	+	0	-	+	-	-	0	+	-	0	0	-
