Grapheme	Name	Alias	advancedTongueRoot	anterior	approximant	back	click	consonantal	constrictedGlottis	continuant	coronal	delayedRelease	distributed	dorsal	epilaryngealSource	fortis	front	high	labial	labiodental	lateral	long	low	loweredLarynxImplosive	nasal	periodicGlottalSource	raisedLarynxEjective	retractedTongueRoot	round	short	sonorant	spreadGlottis	stress	strident	syllabic	tap	tense	tone	trill
n̪ː|nː	latin small letter n - combining bridge below - modifier letter triangular colon - vertical line - latin small letter n - modifier letter triangular colon		0	+	-	0	-	+	-	-	+	0	0	-	-	-	0	0	-	0	-	+	0	-	+	+	-	0	0	-	+	-	-	-	-	-	0	0	-
n̪ˠ	latin small letter n - combining bridge below - modifier letter small gamma		0	+	-	-	-	+	-	-	+	0	+	+	-	-	-	+	-	0	-	-	-	-	+	+	-	0	0	-	+	-	-	-	-	-	0	0	-
n̪ˤ	latin small letter n - combining bridge below - modifier letter small reversed glottal stop		-	+	-	0	-	+	-	-	+	0	+	-	-	-	0	0	-	0	-	-	0	-	+	+	-	+	0	-	+	-	-	-	-	-	0	0	-
n̪̊	latin small letter n - combining bridge below - combining ring above		0	+	-	0	-	+	-	-	+	0	+	-	-	-	0	0	-	0	-	-	0	-	+	-	-	0	0	-	+	-	-	-	-	-	0	0	-
n̪̤	latin small letter n - combining bridge below - combining diaeresis below		0	+	-	0	-	+	-	-	+	0	+	-	-	-	0	0	-	0	-	-	0	-	+	+	-	0	0	-	+	+	-	-	-	-	0	0	-
n̪̤|n̤	latin small letter n - combining bridge below - combining diaeresis below - vertical line - latin small letter n - combining diaeresis below		0	+	-	0	-	+	-	-	+	0	0	-	-	-	0	0	-	0	-	-	0	-	+	+	-	0	0	-	+	+	-	-	-	-	0	0	-
n̪̥	latin small letter n - combining bridge below - combining ring below		0	+	-	0	-	+	-	-	+	0	+	-	-	-	0	0	-	0	-	-	0	-	+	-	-	0	0	-	+	-	-	-	-	-	0	0	-
n̪̥|n̥	latin small letter n - combining bridge below - combining ring below - vertical line - latin small letter n - combining ring below		0	+	-	0	-	+	-	-	+	0	0	-	-	-	0	0	-	0	-	-	0	-	+	-	-	0	0	-	+	-	-	-	-	-	0	0	-
n̪̩	latin small letter n - combining bridge below - combining vertical line below		0	+	-	0	-	+	-	-	+	0	+	-	-	-	0	0	-	0	-	-	0	-	+	+	-	0	0	-	+	-	-	-	+	-	0	0	-
n̪̰	latin small letter n - combining bridge below - combining tilde below		0	+	-	0	-	+	+	-	+	0	+	-	-	-	0	0	-	0	-	-	0	-	+	+	-	0	0	-	+	-	-	-	-	-	0	0	-
n̪̰|n̰	latin small letter n - combining bridge below - combining tilde below - vertical line - latin small letter n - combining tilde below		0	+	-	0	-	+	+	-	+	0	0	-	-	-	0	0	-	0	-	-	0	-	+	+	-	0	0	-	+	-	-	-	-	-	0	0	-
n̪̺	latin small letter n - combining bridge below - combining inverted bridge below		0	+	-	0	-	+	-	-	+	0	-	-	-	-	0	0	-	0	-	-	0	-	+	+	-	0	0	-	+	-	-	-	-	-	0	0	-
n̰	latin small letter n - combining tilde below		0	+	-	0	-	+	+	-	+	0	-	-	-	-	0	0	-	0	-	-	0	-	+	+	-	0	0	-	+	-	-	-	-	-	0	0	-
n̺	latin small letter n - combining inverted bridge below		0	+	-	0	-	+	-	-	+	0	-	-	-	-	0	0	-	0	-	-	0	-	+	+	-	0	0	-	+	-	-	-	-	-	0	0	-
n̻	latin small letter n - combining square below		0	+	-	0	-	+	-	-	+	0	+	-	-	-	0	0	-	0	-	-	0	-	+	+	-	0	0	-	+	-	-	-	-	-	0	0	-
n̻ʲ	latin small letter n - combining square below - modifier letter small j		0	+	-	-	-	+	-	-	+	0	+	+	-	-	+	+	-	0	-	-	-	-	+	+	-	0	0	-	+	-	-	-	-	-	0	0	-
n̻ː	latin small letter n - combining square below - modifier letter triangular colon		0	+	-	0	-	+	-	-	+	0	+	-	-	-	0	0	-	0	-	+	0	-	+	+	-	0	0	-	+	-	-	-	-	-	0	0	-
n͈ː	latin small letter n - combining double vertical line below - modifier letter triangular colon		0	+	-	0	-	+	-	-	+	0	-	-	-	+	0	0	-	0	-	+	0	-	+	+	-	0	0	-	+	-	-	-	-	-	0	0	-
n͉	latin small letter n - combining left angle below		0	+	-	0	-	+	-	-	+	0	-	-	-	-	0	0	-	0	-	-	0	-	+	+	-	0	0	-	+	-	-	-	-	-	0	0	-
o	latin small letter o		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-	0	+	-	+	0	-
oo	latin small letter o - latin small letter o		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-	0	+	-	+	0	-
oʲ	latin small letter o - modifier letter small j		-	0	+	-	0	-	-	+	-	0	0	+	-	0	+	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-	0	+	-	+	0	-
oˀ	latin small letter o - modifier letter glottal stop		-	0	+	+	0	-	+	+	-	0	0	+	-	0	-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-	0	+	-	+	0	-
oː	latin small letter o - modifier letter triangular colon		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-	0	+	-	+	0	-
oˑ	latin small letter o - modifier letter half triangular colon		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	+	-	-	-	+	-	-	+	+	+	-	-	0	+	-	+	0	-
o˞	latin small letter o - modifier letter rhotic hook		-	+	+	+	0	-	-	+	+	0	+	+	-	0	-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-	+	+	-	+	0	-
oˤ	latin small letter o - modifier letter small reversed glottal stop		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	-	-	-	-	+	-	+	+	-	+	-	-	0	+	-	+	0	-
oˤː	latin small letter o - modifier letter small reversed glottal stop - modifier letter triangular colon		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	+	-	-	-	+	-	+	+	-	+	-	-	0	+	-	+	0	-
õ	latin small letter o - combining tilde		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	-	-	-	+	+	-	-	+	-	+	-	-	0	+	-	+	0	-
õʲ	latin small letter o - combining tilde - modifier letter small j		-	0	+	-	0	-	-	+	-	0	0	+	-	0	+	+	+	-	-	-	-	-	+	+	-	-	+	-	+	-	-	0	+	-	+	0	-
õː	latin small letter o - combining tilde - modifier letter triangular colon		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	+	-	-	+	+	-	-	+	-	+	-	-	0	+	-	+	0	-
õˤ	latin small letter o - combining tilde - modifier letter small reversed glottal stop		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	-	-	-	+	+	-	+	+	-	+	-	-	0	+	-	+	0	-
ŏ	latin small letter o - combining breve		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	-	-	-	-	+	-	-	+	+	+	-	-	0	+	-	+	0	-
ŏ̃	latin small letter o - combining breve - combining tilde		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	-	-	-	+	+	-	-	+	+	+	-	-	0	+	-	+	0	-
ö	latin small letter o - combining diaeresis		-	0	+	0	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-	0	+	-	0	0	-
o̘	latin small letter o - combining left tack below		+	0	+	+	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-	0	+	-	+	0	-
o̘ː	latin small letter o - combining left tack below - modifier letter triangular colon		+	0	+	+	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-	0	+	-	+	0	-
o̙	latin small letter o - combining right tack below		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	-	-	-	-	+	-	+	+	-	+	-	-	0	+	-	+	0	-
o̝	latin small letter o - combining up tack below		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	0	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-	0	+	-	+	0	-
o̞	latin small letter o - combining down tack below		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-	0	+	-	0	0	-
o̞ː	latin small letter o - combining down tack below - modifier letter triangular colon		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-	0	+	-	0	0	-
o̞ˤ	latin small letter o - combining down tack below - modifier letter small reversed glottal stop		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	-	-	-	-	+	-	+	+	-	+	-	-	0	+	-	0	0	-
o̞ˤː	latin small letter o - combining down tack below - modifier letter small reversed glottal stop - modifier letter triangular colon		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	+	-	-	-	+	-	+	+	-	+	-	-	0	+	-	0	0	-
õ̞	latin small letter o - combining down tack below - combining tilde		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	-	-	-	+	+	-	-	+	-	+	-	-	0	+	-	0	0	-
õ̞ː	latin small letter o - combining down tack below - combining tilde - modifier letter triangular colon		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	+	-	-	+	+	-	-	+	-	+	-	-	0	+	-	0	0	-
õ̞ˤ	latin small letter o - combining down tack below - combining tilde - modifier letter small reversed glottal stop		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	-	-	-	+	+	-	+	+	-	+	-	-	0	+	-	0	0	-
ŏ̞	latin small letter o - combining down tack below - combining breve		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	-	-	-	-	+	-	-	+	+	+	-	-	0	+	-	0	0	-
ö̞	latin small letter o - combining down tack below - combining diaeresis		-	0	+	0	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-	0	+	-	0	0	-
o̞̙	latin small letter o - combining down tack below - combining right tack below		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	-	-	-	-	+	-	+	+	-	+	-	-	0	+	-	0	0	-
o̞̜	latin small letter o - combining down tack below - combining left half ring below		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	-	-	-	-	+	-	-	0	-	+	-	-	0	+	-	0	0	-
o̞̜ː	latin small letter o - combining down tack below - combining left half ring below - modifier letter triangular colon		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	+	-	-	-	+	-	-	0	-	+	-	-	0	+	-	0	0	-
o̞̥	latin small letter o - combining down tack below - combining ring below		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	-	-	-	-	-	-	-	+	-	+	-	-	0	+	-	0	0	-
o̞̰	latin small letter o - combining down tack below - combining tilde below		-	0	+	+	0	-	+	+	-	0	0	+	-	0	-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-	0	+	-	0	0	-
õ̞̰	latin small letter o - combining down tack below - combining tilde below - combining tilde		-	0	+	+	0	-	+	+	-	0	0	+	-	0	-	-	+	-	-	-	-	-	+	+	-	-	+	-	+	-	-	0	+	-	0	0	-
o̟	latin small letter o - combining plus sign below		-	0	+	0	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-	0	+	-	+	0	-
o̟ˑ	latin small letter o - combining plus sign below - modifier letter half triangular colon		-	0	+	0	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	+	-	-	-	+	-	-	+	+	+	-	-	0	+	-	+	0	-
o̟̞	latin small letter o - combining plus sign below - combining down tack below		-	0	+	0	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-	0	+	-	0	0	-
o̠	latin small letter o - combining minus sign below		-	-	+	+	0	-	-	+	-	0	+	+	-	0	-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-	0	+	-	+	0	-
o̤	latin small letter o - combining diaeresis below		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	+	-	0	+	-	+	0	-
o̤ː	latin small letter o - combining diaeresis below - modifier letter triangular colon		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	+	-	-	-	+	-	-	+	-	+	+	-	0	+	-	+	0	-
o̤ˑ	latin small letter o - combining diaeresis below - modifier letter half triangular colon		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	+	-	-	-	+	-	-	+	+	+	+	-	0	+	-	+	0	-
o̯	latin small letter o - combining inverted breve below		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-	0	-	-	+	0	-
o̰	latin small letter o - combining tilde below		-	0	+	+	0	-	+	+	-	0	0	+	-	0	-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-	0	+	-	+	0	-
o̰ː	latin small letter o - combining tilde below - modifier letter triangular colon		-	0	+	+	0	-	+	+	-	0	0	+	-	0	-	-	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-	0	+	-	+	0	-
o̰ˑ	latin small letter o - combining tilde below - modifier letter half triangular colon		-	0	+	+	0	-	+	+	-	0	0	+	-	0	-	-	+	-	-	+	-	-	-	+	-	-	+	+	+	-	-	0	+	-	+	0	-
õ̰	latin small letter o - combining tilde below - combining tilde		-	0	+	+	0	-	+	+	-	0	0	+	-	0	-	-	+	-	-	-	-	-	+	+	-	-	+	-	+	-	-	0	+	-	+	0	-
oᴱ	latin small letter o - modifier letter capital e		-	0	+	+	0	-	-	+	-	0	0	+	+	0	-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-	0	+	-	+	0	-
p	latin small letter p		0	0	-	0	-	+	-	-	-	-	0	-	-	-	0	0	+	-	-	-	0	-	-	-	-	0	-	-	-	-	-	0	-	-	0	0	-
pf	latin small letter p - latin small letter f		0	0	-	0	-	+	-	-	-	+	0	-	-	-	0	0	+	+	-	-	0	-	-	-	-	0	-	-	-	-	-	0	-	-	0	0	-
pfʰ	latin small letter p - latin small letter f - modifier letter small h		0	0	-	0	-	+	-	-	-	+	0	-	-	-	0	0	+	+	-	-	0	-	-	-	-	0	-	-	-	+	-	0	-	-	0	0	-
pfʼ	latin small letter p - latin small letter f - modifier letter apostrophe		0	0	-	0	-	+	+	-	-	+	0	-	-	-	0	0	+	+	-	-	0	-	-	-	+	0	-	-	-	-	-	0	-	-	0	0	-
pɸ	latin small letter p - latin small letter phi		0	0	-	0	-	+	-	-	-	+	0	-	-	-	0	0	+	-	-	-	0	-	-	-	-	0	-	-	-	-	-	0	-	-	0	0	-
pʰ	latin small letter p - modifier letter small h		0	0	-	0	-	+	-	-	-	-	0	-	-	-	0	0	+	-	-	-	0	-	-	-	-	0	-	-	-	+	-	0	-	-	0	0	-
pʰː	latin small letter p - modifier letter small h - modifier letter triangular colon		0	0	-	0	-	+	-	-	-	-	0	-	-	-	0	0	+	-	-	+	0	-	-	-	-	0	-	-	-	+	-	0	-	-	0	0	-
pʲ	latin small letter p - modifier letter small j		0	0	-	-	-	+	-	-	-	-	0	+	-	-	+	+	+	-	-	-	-	-	-	-	-	0	-	-	-	-	-	0	-	-	0	0	-
pʲʰ	latin small letter p - modifier letter small j - modifier letter small h		0	0	-	-	-	+	-	-	-	-	0	+	-	-	+	+	+	-	-	-	-	-	-	-	-	0	-	-	-	+	-	0	-	-	0	0	-
pʲʼ	latin small letter p - modifier letter small j - modifier letter apostrophe		0	0	-	-	-	+	+	-	-	-	0	+	-	-	+	+	+	-	-	-	-	-	-	-	+	0	-	-	-	-	-	0	-	-	0	0	-
pʲː	latin small letter p - modifier letter small j - modifier letter triangular colon		0	0	-	-	-	+	-	-	-	-	0	+	-	-	+	+	+	-	-	+	-	-	-	-	-	0	-	-	-	-	-	0	-	-	0	0	-
pʷ	latin small letter p - modifier letter small w		0	0	-	0	-	+	-	-	-	-	0	-	-	-	0	0	+	-	-	-	0	-	-	-	-	0	+	-	-	-	-	0	-	-	0	0	-
pʷʰ	latin small letter p - modifier letter small w - modifier letter small h		0	0	-	0	-	+	-	-	-	-	0	-	-	-	0	0	+	-	-	-	0	-	-	-	-	0	+	-	-	+	-	0	-	-	0	0	-
pʷʼ	latin small letter p - modifier letter small w - modifier letter apostrophe		0	0	-	0	-	+	+	-	-	-	0	-	-	-	0	0	+	-	-	-	0	-	-	-	+	0	+	-	-	-	-	0	-	-	0	0	-
pʷˠ	latin small letter p - modifier letter small w - modifier letter small gamma		0	0	-	-	-	+	-	-	-	-	0	+	-	-	-	+	+	-	-	-	-	-	-	-	-	0	+	-	-	-	-	0	-	-	0	0	-
pʷˠʰ	latin small letter p - modifier letter small w - modifier letter small gamma - modifier letter small h		0	0	-	-	-	+	-	-	-	-	0	+	-	-	-	+	+	-	-	-	-	-	-	-	-	0	+	-	-	+	-	0	-	-	0	0	-
pʷˠː	latin small letter p - modifier letter small w - modifier letter small gamma - modifier letter triangular colon		0	0	-	-	-	+	-	-	-	-	0	+	-	-	-	+	+	-	-	+	-	-	-	-	-	0	+	-	-	-	-	0	-	-	0	0	-
pʼ	latin small letter p - modifier letter apostrophe		0	0	-	0	-	+	+	-	-	-	0	-	-	-	0	0	+	-	-	-	0	-	-	-	+	0	-	-	-	-	-	0	-	-	0	0	-
pʼkxʼ	latin small letter p - modifier letter apostrophe - latin small letter k - latin small letter x - modifier letter apostrophe		0	0	-	-	-	+	+	-	-	+	0	+	-	-	-	+	+	-	-	-	-	-	-	-	+	0	-	-	-	-	-	0	-	-	0	0	-
pʼː	latin small letter p - modifier letter apostrophe - modifier letter triangular colon		0	0	-	0	-	+	+	-	-	-	0	-	-	-	0	0	+	-	-	+	0	-	-	-	+	0	-	-	-	-	-	0	-	-	0	0	-
pˀ	latin small letter p - modifier letter glottal stop		0	0	-	0	-	+	+	-	-	-	0	-	-	-	0	0	+	-	-	-	0	-	-	-	-	0	-	-	-	-	-	0	-	-	0	0	-
pː	latin small letter p - modifier letter triangular colon		0	0	-	0	-	+	-	-	-	-	0	-	-	-	0	0	+	-	-	+	0	-	-	-	-	0	-	-	-	-	-	0	-	-	0	0	-
pˑ	latin small letter p - modifier letter half triangular colon		0	0	-	0	-	+	-	-	-	-	0	-	-	-	0	0	+	-	-	+	0	-	-	-	-	0	-	+	-	-	-	0	-	-	0	0	-
p˞	latin small letter p - modifier letter rhotic hook		0	+	-	0	-	+	-	-	+	-	+	+	-	-	0	0	+	-	-	-	0	-	-	-	-	0	-	-	-	-	-	+	-	-	0	0	-
p˞ʰ	latin small letter p - modifier letter rhotic hook - modifier letter small h		0	+	-	0	-	+	-	-	+	-	+	+	-	-	0	0	+	-	-	-	0	-	-	-	-	0	-	-	-	+	-	+	-	-	0	0	-
pˠ	latin small letter p - modifier letter small gamma		0	0	-	-	-	+	-	-	-	-	0	+	-	-	-	+	+	-	-	-	-	-	-	-	-	0	-	-	-	-	-	0	-	-	0	0	-
pˠʰ	latin small letter p - modifier letter small gamma - modifier letter small h		0	0	-	-	-	+	-	-	-	-	0	+	-	-	-	+	+	-	-	-	-	-	-	-	-	0	-	-	-	+	-	0	-	-	0	0	-
pˤ	latin small letter p - modifier letter small reversed glottal stop		-	0	-	0	-	+	-	-	-	-	0	-	-	-	0	0	+	-	-	-	0	-	-	-	-	+	-	-	-	-	-	0	-	-	0	0	-
pˤʰ	latin small letter p - modifier letter small reversed glottal stop - modifier letter small h		-	0	-	0	-	+	-	-	-	-	0	-	-	-	0	0	+	-	-	-	0	-	-	-	-	+	-	-	-	+	-	0	-	-	0	0	-
p̪	latin small letter p - combining bridge below		0	+	-	0	-	+	-	-	+	-	+	-	-	-	0	0	+	-	-	-	0	-	-	-	-	0	-	-	-	-	-	0	-	-	0	0	-
p̰	latin small letter p - combining tilde below		0	0	-	0	-	+	+	-	-	-	0	-	-	-	0	0	+	-	-	-	0	-	-	+	-	0	-	-	-	-	-	0	-	-	0	0	-
p̻	latin small letter p - combining square below		0	0	-	0	-	+	-	-	+	-	+	-	-	-	0	0	+	-	-	-	0	-	-	-	-	0	-	-	-	-	-	0	-	-	0	0	-
p̼	latin small letter p - combining seagull below		0	0	-	0	-	+	-	-	+	-	0	-	-	-	0	0	+	-	-	-	0	-	-	-	-	0	-	-	-	-	-	0	-	-	0	0	-
p͈	latin small letter p - combining double vertical line below		0	0	-	0	-	+	-	-	-	-	0	-	-	+	0	0	+	-	-	-	0	-	-	-	-	0	-	-	-	-	-	0	-	-	0	0	-
p͈ː	latin small letter p - combining double vertical line below - modifier letter triangular colon		0	0	-	0	-	+	-	-	-	-	0	-	-	+	0	0	+	-	-	+	0	-	-	-	-	0	-	-	-	-	-	0	-	-	0	0	-
p͉	latin small letter p - combining left angle below		0	0	-	0	-	+	-	-	-	-	0	-	-	-	0	0	+	-	-	-	0	-	-	-	-	0	-	-	-	-	-	0	-	-	0	0	-
p͉ʲ	latin small letter p - combining left angle below - modifier letter small j		0	0	-	-	-	+	-	-	-	-	0	+	-	-	+	+	+	-	-	-	-	-	-	-	-	0	-	-	-	-	-	0	-	-	0	0	-
q	latin small letter q		0	0	-	+	-	+	-	-	-	-	0	+	-	-	-	-	-	0	-	-	-	-	-	-	-	0	0	-	-	-	-	0	-	-	0	0	-
qʰ	latin small letter q - modifier letter small h		0	0	-	+	-	+	-	-	-	-	0	+	-	-	-	-	-	0	-	-	-	-	-	-	-	0	0	-	-	+	-	0	-	-	0	0	-
qʲ	latin small letter q - modifier letter small j		0	0	-	-	-	+	-	-	-	-	0	+	-	-	+	+	-	0	-	-	-	-	-	-	-	0	0	-	-	-	-	0	-	-	0	0	-
qʲʰ	latin small letter q - modifier letter small j - modifier letter small h		0	0	-	-	-	+	-	-	-	-	0	+	-	-	+	+	-	0	-	-	-	-	-	-	-	0	0	-	-	+	-	0	-	-	0	0	-
qʲʼ	latin small letter q - modifier letter small j - modifier letter apostrophe		0	0	-	-	-	+	+	-	-	-	0	+	-	-	+	+	-	0	-	-	-	-	-	-	+	0	0	-	-	-	-	0	-	-	0	0	-
qʷ	latin small letter q - modifier letter small w		0	0	-	+	-	+	-	-	-	-	0	+	-	-	-	-	+	-	-	-	-	-	-	-	-	0	+	-	-	-	-	0	-	-	0	0	-
qʷʰ	latin small letter q - modifier letter small w - modifier letter small h		0	0	-	+	-	+	-	-	-	-	0	+	-	-	-	-	+	-	-	-	-	-	-	-	-	0	+	-	-	+	-	0	-	-	0	0	-
qʷʲ	latin small letter q - modifier letter small w - modifier letter small j		0	0	-	-	-	+	-	-	-	-	0	+	-	-	+	+	+	-	-	-	-	-	-	-	-	0	+	-	-	-	-	0	-	-	0	0	-
qʷʲʰ	latin small letter q - modifier letter small w - modifier letter small j - modifier letter small h		0	0	-	-	-	+	-	-	-	-	0	+	-	-	+	+	+	-	-	-	-	-	-	-	-	0	+	-	-	+	-	0	-	-	0	0	-
qʷʲʼ	latin small letter q - modifier letter small w - modifier letter small j - modifier letter apostrophe		0	0	-	-	-	+	+	-	-	-	0	+	-	-	+	+	+	-	-	-	-	-	-	-	+	0	+	-	-	-	-	0	-	-	0	0	-
qʷʼ	latin small letter q - modifier letter small w - modifier letter apostrophe		0	0	-	+	-	+	+	-	-	-	0	+	-	-	-	-	+	-	-	-	-	-	-	-	+	0	+	-	-	-	-	0	-	-	0	0	-
qʷʼː	latin small letter q - modifier letter small w - modifier letter apostrophe - modifier letter triangular colon		0	0	-	+	-	+	+	-	-	-	0	+	-	-	-	-	+	-	-	+	-	-	-	-	+	0	+	-	-	-	-	0	-	-	0	0	-
qʷˀ	latin small letter q - modifier letter small w - modifier letter glottal stop		0	0	-	+	-	+	+	-	-	-	0	+	-	-	-	-	+	-	-	-	-	-	-	-	-	0	+	-	-	-	-	0	-	-	0	0	-
qʷː	latin small letter q - modifier letter small w - modifier letter triangular colon		0	0	-	+	-	+	-	-	-	-	0	+	-	-	-	-	+	-	-	+	-	-	-	-	-	0	+	-	-	-	-	0	-	-	0	0	-
qʷˤʰ	latin small letter q - modifier letter small w - modifier letter small reversed glottal stop - modifier letter small h		-	0	-	+	-	+	-	-	-	-	0	+	-	-	-	-	+	-	-	-	-	-	-	-	-	+	+	-	-	+	-	0	-	-	0	0	-
qʷˤʼ	latin small letter q - modifier letter small w - modifier letter small reversed glottal stop - modifier letter apostrophe		-	0	-	+	-	+	+	-	-	-	0	+	-	-	-	-	+	-	-	-	-	-	-	-	+	+	+	-	-	-	-	0	-	-	0	0	-
qʼ	latin small letter q - modifier letter apostrophe		0	0	-	+	-	+	+	-	-	-	0	+	-	-	-	-	-	0	-	-	-	-	-	-	+	0	0	-	-	-	-	0	-	-	0	0	-
qʼː	latin small letter q - modifier letter apostrophe - modifier letter triangular colon		0	0	-	+	-	+	+	-	-	-	0	+	-	-	-	-	-	0	-	+	-	-	-	-	+	0	0	-	-	-	-	0	-	-	0	0	-
qˀ	latin small letter q - modifier letter glottal stop		0	0	-	+	-	+	+	-	-	-	0	+	-	-	-	-	-	0	-	-	-	-	-	-	-	0	0	-	-	-	-	0	-	-	0	0	-
qː	latin small letter q - modifier letter triangular colon		0	0	-	+	-	+	-	-	-	-	0	+	-	-	-	-	-	0	-	+	-	-	-	-	-	0	0	-	-	-	-	0	-	-	0	0	-
qˤ	latin small letter q - modifier letter small reversed glottal stop		-	0	-	+	-	+	-	-	-	-	0	+	-	-	-	-	-	0	-	-	-	-	-	-	-	+	0	-	-	-	-	0	-	-	0	0	-
qˤʰ	latin small letter q - modifier letter small reversed glottal stop - modifier letter small h		-	0	-	+	-	+	-	-	-	-	0	+	-	-	-	-	-	0	-	-	-	-	-	-	-	+	0	-	-	+	-	0	-	-	0	0	-
qˤʼ	latin small letter q - modifier letter small reversed glottal stop - modifier letter apostrophe		-	0	-	+	-	+	+	-	-	-	0	+	-	-	-	-	-	0	-	-	-	-	-	-	+	+	0	-	-	-	-	0	-	-	0	0	-
q̚	latin small letter q - combining left angle above		0	0	-	+	-	+	-	-	-	-	0	+	-	-	-	-	-	0	-	-	-	-	-	-	-	0	0	-	-	-	-	0	-	-	0	0	-
q̰	latin small letter q - combining tilde below		0	0	-	+	-	+	+	-	-	-	0	+	-	-	-	-	-	0	-	-	-	-	-	+	-	0	0	-	-	-	-	0	-	-	0	0	-
q̰ʷ	latin small letter q - combining tilde below - modifier letter small w		0	0	-	+	-	+	+	-	-	-	0	+	-	-	-	-	+	-	-	-	-	-	-	+	-	0	+	-	-	-	-	0	-	-	0	0	-
q̺	latin small letter q - combining inverted bridge below		0	0	-	+	-	+	-	-	+	-	-	+	-	-	-	-	-	0	-	-	-	-	-	-	-	0	0	-	-	-	-	0	-	-	0	0	-
q͈	latin small letter q - combining double vertical line below		0	0	-	+	-	+	-	-	-	-	0	+	-	+	-	-	-	0	-	-	-	-	-	-	-	0	0	-	-	-	-	0	-	-	0	0	-
q͈ʷ	latin small letter q - combining double vertical line below - modifier letter small w		0	0	-	+	-	+	-	-	-	-	0	+	-	+	-	-	+	-	-	-	-	-	-	-	-	0	+	-	-	-	-	0	-	-	0	0	-
qχ	latin small letter q - greek small letter chi		0	0	-	+	-	+	-	-	-	+	0	+	-	-	-	-	-	0	-	-	-	-	-	-	-	0	0	-	-	-	-	0	-	-	0	0	-
qχʰ	latin small letter q - greek small letter chi - modifier letter small h		0	0	-	+	-	+	-	-	-	+	0	+	-	-	-	-	-	0	-	-	-	-	-	-	-	0	0	-	-	+	-	0	-	-	0	0	-
