Grapheme	Name	Alias	anterior	approximant	back	click	consonantal	constricted	continuant	coronal	distributed	dorsal	high	labial	laryngeal	lateral	long	low	nasal	pharyngeal	place	preaspirated	preglottalized	prenasal	round	sibilant	sonorant	spread	strident	syllabic	tense	voice
o̤	breathy rounded close-mid back vowel		-	+	+	-	-	-	+	-	+	+	-	+	+	-	0	-	-	0	+	0	0	0	+	0	+	+	0	+	+	+
o̥	devoiced rounded close-mid back vowel		-	+	+	-	-	-	+	-	+	+	-	+	+	-	0	-	-	0	+	0	0	0	+	0	+	-	0	+	+	-
o̯	non-syllabic rounded close-mid back vowel		-	+	+	-	-	-	+	-	+	+	-	+	+	-	0	-	-	0	+	0	0	0	+	0	+	-	0	-	+	+
p	voiceless bilabial stop consonant		0	-	0	-	+	0	-	-	0	-	0	+	-	-	0	0	-	0	+	0	0	0	-	0	-	0	0	-	-	0
pf	voiceless labio-dental affricate consonant		+	-	0	-	+	0	-	+	+	-	0	+	-	-	0	0	+	0	+	0	0	0	-	-	+	0	-	-	-	0
pfʰ	aspirated voiceless labio-dental affricate consonant		+	-	0	-	+	-	-	+	+	-	0	+	+	-	0	0	+	0	+	0	0	0	-	-	+	+	-	-	-	-
pfʼ	voiceless labio-dental ejective affricate consonant		+	-	0	-	+	+	-	+	+	-	0	+	+	-	0	0	+	0	+	0	0	0	-	-	+	-	-	-	-	-
pɸ	voiceless bilabial affricate consonant		0	-	0	-	+	0	-	-	0	-	0	+	-	-	0	0	+	0	+	0	0	0	-	0	+	0	0	-	-	0
pʰ	aspirated voiceless bilabial stop consonant		0	-	0	-	+	-	-	-	0	-	0	+	+	-	0	0	-	0	+	0	0	0	-	0	-	+	0	-	-	-
pʰʲ	palatalized aspirated voiceless bilabial stop consonant		-	-	0	-	+	-	-	+	+	-	0	+	+	-	0	0	-	0	+	0	0	0	-	-	-	+	-	-	-	-
pʰː	aspirated long voiceless bilabial stop consonant		0	-	0	-	+	-	-	-	0	-	0	+	+	-	+	0	-	0	+	0	0	0	-	0	-	+	0	-	-	-
pʲ	palatalized voiceless bilabial stop consonant		-	-	0	-	+	0	-	+	+	-	0	+	-	-	0	0	-	0	+	0	0	0	-	-	-	0	-	-	-	0
pʷ	labialized voiceless bilabial stop consonant		0	-	0	-	+	0	-	-	0	-	0	+	-	-	0	0	-	0	+	0	0	0	+	0	-	0	0	-	-	0
pʼ	voiceless bilabial ejective stop consonant		0	-	0	-	+	+	-	-	0	-	0	+	+	-	0	0	-	0	+	0	0	0	-	0	-	-	0	-	-	-
pː	long voiceless bilabial stop consonant		0	-	0	-	+	0	-	-	0	-	0	+	-	-	+	0	-	0	+	0	0	0	-	0	-	0	0	-	-	0
pˠ	velarized voiceless bilabial stop consonant		0	-	+	-	+	0	-	-	0	+	+	+	-	-	0	-	-	0	+	0	0	0	-	0	-	0	0	-	-	0
p̪	voiceless labio-dental stop consonant		+	-	0	-	+	0	-	+	+	-	0	+	-	-	0	0	-	0	+	0	0	0	-	-	-	0	-	-	-	0
p̬	revoiced voiceless bilabial stop consonant	b	0	-	0	-	+	-	-	-	0	-	0	+	+	-	0	0	-	0	+	0	0	0	-	0	-	-	0	-	-	+
q	voiceless uvular stop consonant		0	-	+	-	+	0	-	-	0	+	-	-	-	-	0	-	-	0	+	0	0	0	0	0	-	0	0	-	-	0
qʰ	aspirated voiceless uvular stop consonant		0	-	+	-	+	-	-	-	0	+	-	-	+	-	0	-	-	0	+	0	0	0	0	0	-	+	0	-	-	-
qʷ	labialized voiceless uvular stop consonant		0	-	+	-	+	0	-	-	0	+	-	+	-	-	0	-	-	0	+	0	0	0	+	0	-	0	0	-	-	0
qʷʰ	labialized aspirated voiceless uvular stop consonant		0	-	+	-	+	-	-	-	0	+	-	+	+	-	0	-	-	0	+	0	0	0	+	0	-	+	0	-	-	-
qʼ	voiceless uvular ejective stop consonant		0	-	+	-	+	+	-	-	0	+	-	-	+	-	0	-	-	0	+	0	0	0	0	0	-	-	0	-	-	-
qʼʷ	labialized voiceless uvular ejective stop consonant		0	-	+	-	+	+	-	-	0	+	-	+	+	-	0	-	-	0	+	0	0	0	+	0	-	-	0	-	-	-
qχ	voiceless uvular affricate consonant		0	-	+	-	+	0	-	-	0	+	-	-	-	-	0	-	+	0	+	0	0	0	0	0	+	0	0	-	-	0
r	voiced alveolar trill consonant		+	+	0	-	+	-	+	+	-	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	+	-	-	-	-	+
rʲ	palatalized voiced alveolar trill consonant		-	+	0	-	+	-	+	+	+	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	+	-	-	-	-	+
rː	long voiced alveolar trill consonant		+	+	0	-	+	-	+	+	-	-	0	-	+	-	+	0	-	0	+	0	0	0	0	-	+	-	-	-	-	+
rˤ	pharyngealized voiced alveolar trill consonant		+	+	0	-	+	-	+	+	-	-	0	-	+	-	0	0	-	+	+	0	0	0	0	-	+	-	-	-	-	+
rˤː	pharyngealized long voiced alveolar trill consonant		+	+	0	-	+	-	+	+	-	-	0	-	+	-	+	0	-	+	+	0	0	0	0	-	+	-	-	-	-	+
r̃	nasalized voiced alveolar trill consonant		+	+	0	-	+	-	+	+	-	-	0	-	+	-	0	0	+	0	+	0	0	0	0	-	+	-	-	-	-	+
r̥	devoiced voiced alveolar trill consonant		+	+	0	-	+	-	+	+	-	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	+	-	-	-	-	-
r̩	syllabic voiced alveolar trill consonant		+	+	0	-	+	-	+	+	-	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	+	-	-	+	-	+
r̪	voiced dental trill consonant		+	+	0	-	+	-	+	+	+	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	+	-	-	-	+	+
r̪ː	long voiced dental trill consonant		+	+	0	-	+	-	+	+	+	-	0	-	+	-	+	0	-	0	+	0	0	0	0	-	+	-	-	-	+	+
r̪ˤ	pharyngealized voiced dental trill consonant		+	+	0	-	+	-	+	+	+	-	0	-	+	-	0	0	-	+	+	0	0	0	0	-	+	-	-	-	+	+
r̪̥	devoiced voiced dental trill consonant		+	+	0	-	+	-	+	+	+	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	+	-	-	-	+	-
r̼	voiced linguolabial trill consonant		+	+	0	-	+	-	+	+	-	-	0	+	+	-	0	0	-	0	+	0	0	0	-	-	+	-	-	-	-	+
s	voiceless alveolar sibilant fricative consonant		+	-	0	-	+	0	+	+	-	-	0	-	-	-	0	0	-	0	+	0	0	0	0	+	-	0	+	-	-	0
sʲ	palatalized voiceless alveolar sibilant fricative consonant		-	-	0	-	+	0	+	+	+	-	0	-	-	-	0	0	-	0	+	0	0	0	0	+	-	0	+	-	-	0
sʼ	voiceless alveolar ejective sibilant fricative consonant		+	-	0	-	+	+	+	+	-	-	0	-	+	-	0	0	-	0	+	0	0	0	0	+	-	-	+	-	-	-
sː	long voiceless alveolar sibilant fricative consonant		+	-	0	-	+	0	+	+	-	-	0	-	-	-	+	0	-	0	+	0	0	0	0	+	-	0	+	-	-	0
sˠ	velarized voiceless alveolar sibilant fricative consonant		+	-	+	-	+	0	+	+	-	+	+	-	-	-	0	-	-	0	+	0	0	0	0	+	-	0	+	-	-	0
s̩	syllabic voiceless alveolar sibilant fricative consonant		+	-	0	-	+	0	+	+	-	-	0	-	-	-	0	0	-	0	+	0	0	0	0	+	-	0	+	+	-	0
s̪	voiceless dental sibilant fricative consonant		+	-	0	-	+	0	+	+	+	-	0	-	-	-	0	0	-	0	+	0	0	0	0	+	-	0	+	-	+	0
s̪ʲ	palatalized voiceless dental sibilant fricative consonant		-	-	0	-	+	0	+	+	+	-	0	-	-	-	0	0	-	0	+	0	0	0	0	+	-	0	+	-	+	0
s̪ʼ	voiceless dental ejective sibilant fricative consonant		+	-	0	-	+	+	+	+	+	-	0	-	+	-	0	0	-	0	+	0	0	0	0	+	-	-	+	-	+	-
s̪ˠ	velarized voiceless dental sibilant fricative consonant		+	-	+	-	+	0	+	+	+	+	+	-	-	-	0	-	-	0	+	0	0	0	0	+	-	0	+	-	+	0
s̬	revoiced voiceless alveolar sibilant fricative consonant	z	+	-	0	-	+	-	+	+	-	-	0	-	+	-	0	0	-	0	+	0	0	0	0	+	-	-	+	-	-	+
s̻	voiceless laminal alveolar sibilant fricative consonant	s	+	-	0	-	+	0	+	+	-	-	0	-	-	-	0	0	-	0	+	0	0	0	0	+	-	0	+	-	-	0
t	voiceless alveolar stop consonant		+	-	0	-	+	0	-	+	-	-	0	-	-	-	0	0	-	0	+	0	0	0	0	-	-	0	-	-	-	0
ts	voiceless alveolar sibilant affricate consonant		+	-	0	-	+	0	-	+	-	-	0	-	-	-	0	0	+	0	+	0	0	0	0	+	+	0	-	-	-	0
tsʰ	aspirated voiceless alveolar sibilant affricate consonant		+	-	0	-	+	-	-	+	-	-	0	-	+	-	0	0	+	0	+	0	0	0	0	+	+	+	-	-	-	-
tsʲ	palatalized voiceless alveolar sibilant affricate consonant		-	-	0	-	+	0	-	+	+	-	0	-	-	-	0	0	+	0	+	0	0	0	0	+	+	0	-	-	-	0
tsʼ	voiceless alveolar ejective sibilant affricate consonant		+	-	0	-	+	+	-	+	-	-	0	-	+	-	0	0	+	0	+	0	0	0	0	+	+	-	-	-	-	-
tsː	long voiceless alveolar sibilant affricate consonant		+	-	0	-	+	0	-	+	-	-	0	-	-	-	+	0	+	0	+	0	0	0	0	+	+	0	-	-	-	0
ts̪	voiceless dental sibilant affricate consonant		+	-	0	-	+	0	-	+	+	-	0	-	-	-	0	0	+	0	+	0	0	0	0	+	+	0	-	-	+	0
ts̪ʰ	aspirated voiceless dental affricate consonant		+	-	0	-	+	-	-	+	+	-	0	-	+	-	0	0	+	0	+	0	0	0	0	-	+	+	-	-	+	-
ts̪ʲ	palatalized voiceless dental sibilant affricate consonant		-	-	0	-	+	0	-	+	+	-	0	-	-	-	0	0	+	0	+	0	0	0	0	+	+	0	-	-	+	0
ts̪ʼ	voiceless dental ejective sibilant affricate consonant		+	-	0	-	+	+	-	+	+	-	0	-	+	-	0	0	+	0	+	0	0	0	0	+	+	-	-	-	+	-
ts̪ː	long voiceless dental sibilant affricate consonant		+	-	0	-	+	0	-	+	+	-	0	-	-	-	+	0	+	0	+	0	0	0	0	+	+	0	-	-	+	0
tɕ	voiceless alveolo-palatal sibilant affricate consonant		-	-	-	-	+	0	-	+	-	+	+	-	-	-	0	-	+	0	+	0	0	0	0	+	+	0	-	-	+	0
tɕʰ	aspirated voiceless alveolo-palatal sibilant affricate consonant		-	-	-	-	+	-	-	+	-	+	+	-	+	-	0	-	+	0	+	0	0	0	0	+	+	+	-	-	+	-
tɕː	long voiceless alveolo-palatal sibilant affricate consonant		-	-	-	-	+	0	-	+	-	+	+	-	-	-	+	-	+	0	+	0	0	0	0	+	+	0	-	-	+	0
tɬ	voiceless alveolar lateral affricate consonant		+	-	0	-	+	0	-	+	-	-	0	-	-	+	0	0	+	0	+	0	0	0	0	-	+	0	-	-	-	0
tɬʰ	aspirated voiceless alveolar lateral affricate consonant		+	-	0	-	+	-	-	+	-	-	0	-	+	+	0	0	+	0	+	0	0	0	0	-	+	+	-	-	-	-
tɬʼ	voiceless alveolar ejective lateral affricate consonant		+	-	0	-	+	+	-	+	-	-	0	-	+	+	0	0	+	0	+	0	0	0	0	-	+	-	-	-	-	-
tɬ̪	voiceless dental lateral affricate consonant		+	-	0	-	+	0	-	+	+	-	0	-	-	+	0	0	+	0	+	0	0	0	0	-	+	0	-	-	+	0
tɬ̪ʰ	aspirated voiceless dental lateral affricate consonant		+	-	0	-	+	-	-	+	+	-	0	-	+	+	0	0	+	0	+	0	0	0	0	-	+	+	-	-	+	-
tɬ̪ʼ	voiceless dental ejective lateral affricate consonant		+	-	0	-	+	+	-	+	+	-	0	-	+	+	0	0	+	0	+	0	0	0	0	-	+	-	-	-	+	-
tʃ	voiceless post-alveolar sibilant affricate consonant		-	-	0	-	+	0	-	+	-	0	0	0	-	-	0	0	+	0	-	0	0	0	0	+	+	0	-	-	-	0
tʃʰ	aspirated voiceless post-alveolar sibilant affricate consonant		-	-	0	-	+	-	-	+	-	0	0	0	+	-	0	0	+	0	-	0	0	0	0	+	+	+	-	-	-	-
tʃʲ	palatalized voiceless post-alveolar sibilant affricate consonant		-	-	0	-	+	0	-	+	+	0	0	0	-	-	0	0	+	0	-	0	0	0	0	+	+	0	-	-	-	0
tʃʷ	labialized voiceless post-alveolar sibilant affricate consonant		-	-	0	-	+	0	-	+	-	0	0	+	-	-	0	0	+	0	-	0	0	0	+	+	+	0	-	-	-	0
tʃʼ	voiceless post-alveolar ejective sibilant affricate consonant		-	-	0	-	+	+	-	+	-	0	0	0	+	-	0	0	+	0	-	0	0	0	0	+	+	-	-	-	-	-
tʃʼː	long voiceless post-alveolar ejective sibilant affricate consonant		-	-	0	-	+	+	-	+	-	0	0	0	+	-	+	0	+	0	-	0	0	0	0	+	+	-	-	-	-	-
tʃː	long voiceless post-alveolar sibilant affricate consonant		-	-	0	-	+	0	-	+	-	0	0	0	-	-	+	0	+	0	-	0	0	0	0	+	+	0	-	-	-	0
tʰ	aspirated voiceless alveolar stop consonant		+	-	0	-	+	-	-	+	-	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	-	+	-	-	-	-
tʲ	palatalized voiceless alveolar stop consonant		-	-	0	-	+	0	-	+	+	-	0	-	-	-	0	0	-	0	+	0	0	0	0	-	-	0	-	-	-	0
tʲʰ	palatalized aspirated voiceless alveolar stop consonant	cʰ	-	-	0	-	+	-	-	+	+	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	-	+	-	-	-	-
tʷ	labialized voiceless alveolar stop consonant		+	-	0	-	+	0	-	+	-	-	0	+	-	-	0	0	-	0	+	0	0	0	+	-	-	0	-	-	-	0
tʷʰ	labialized aspirated voiceless alveolar stop consonant		+	-	0	-	+	-	-	+	-	-	0	+	+	-	0	0	-	0	+	0	0	0	+	-	-	+	-	-	-	-
tʼ	voiceless alveolar ejective stop consonant		+	-	0	-	+	+	-	+	-	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	-	-	-	-	-	-
tː	long voiceless alveolar stop consonant		+	-	0	-	+	0	-	+	-	-	0	-	-	-	+	0	-	0	+	0	0	0	0	-	-	0	-	-	-	0
tˤ	pharyngealized voiceless alveolar stop consonant		+	-	0	-	+	0	-	+	-	-	0	-	-	-	0	0	-	+	+	0	0	0	0	-	-	0	-	-	-	0
t̠	voiceless post-alveolar stop consonant		0	-	0	-	+	0	-	0	0	0	0	0	-	-	0	0	-	0	-	0	0	0	0	0	-	0	0	-	-	0
t̪	voiceless dental stop consonant		+	-	0	-	+	0	-	+	+	-	0	-	-	-	0	0	-	0	+	0	0	0	0	-	-	0	-	-	+	0
t̪ʰ	aspirated voiceless dental stop consonant		+	-	0	-	+	-	-	+	+	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	-	+	-	-	+	-
t̪ʰʲ	palatalized aspirated voiceless dental stop consonant		-	-	0	-	+	-	-	+	+	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	-	+	-	-	+	-
t̪ʰː	aspirated long voiceless dental stop consonant		+	-	0	-	+	-	-	+	+	-	0	-	+	-	+	0	-	0	+	0	0	0	0	-	-	+	-	-	+	-
t̪ʲ	palatalized voiceless dental stop consonant		-	-	0	-	+	0	-	+	+	-	0	-	-	-	0	0	-	0	+	0	0	0	0	-	-	0	-	-	+	0
t̪ʷ	labialized voiceless dental stop consonant		+	-	0	-	+	0	-	+	+	-	0	+	-	-	0	0	-	0	+	0	0	0	+	-	-	0	-	-	+	0
t̪ʷʰ	labialized aspirated voiceless dental stop consonant		+	-	0	-	+	-	-	+	+	-	0	+	+	-	0	0	-	0	+	0	0	0	+	-	-	+	-	-	+	-
t̪ʼ	voiceless dental ejective stop consonant		+	-	0	-	+	+	-	+	+	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	-	-	-	-	+	-
t̪ː	long voiceless dental stop consonant		+	-	0	-	+	0	-	+	+	-	0	-	-	-	+	0	-	0	+	0	0	0	0	-	-	0	-	-	+	0
t̪ˠ	velarized voiceless dental stop consonant		+	-	+	-	+	0	-	+	+	+	+	-	-	-	0	-	-	0	+	0	0	0	0	-	-	0	-	-	+	0
t̪ˤ	pharyngealized voiceless dental stop consonant		+	-	0	-	+	0	-	+	+	-	0	-	-	-	0	0	-	+	+	0	0	0	0	-	-	0	-	-	+	0
t̪ⁿ	with-nasal-release voiceless dental stop consonant		+	-	0	-	+	0	-	+	+	-	0	-	-	-	0	0	+	0	+	0	0	0	0	-	-	0	-	-	+	0
t̬	revoiced voiceless alveolar stop consonant	d	+	-	0	-	+	-	-	+	-	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	-	-	-	-	-	+
t̼	voiceless linguolabial stop consonant		+	-	0	-	+	0	-	+	-	-	0	+	-	-	0	0	-	0	+	0	0	0	-	-	-	0	-	-	-	0
tθ	voiceless dental affricate consonant		+	-	0	-	+	0	-	+	+	-	0	-	-	-	0	0	+	0	+	0	0	0	0	-	+	0	-	-	+	0
tⁿ	with-nasal-release voiceless alveolar stop consonant		+	-	0	-	+	0	-	+	-	-	0	-	-	-	0	0	+	0	+	0	0	0	0	-	-	0	-	-	-	0
u	rounded close back vowel		-	+	+	-	-	-	+	-	+	+	+	+	+	-	0	-	-	0	+	0	0	0	+	0	+	-	0	+	+	+
uː	long rounded close back vowel		-	+	+	-	-	-	+	-	+	+	+	+	+	-	+	-	-	0	+	0	0	0	+	0	+	-	0	+	+	+
ũ	nasalized rounded close back vowel		-	+	+	-	-	-	+	-	+	+	+	+	+	-	0	-	+	0	+	0	0	0	+	0	+	-	0	+	+	+
ũː	long nasalized rounded close back vowel		-	+	+	-	-	-	+	-	+	+	+	+	+	-	+	-	+	0	+	0	0	0	+	0	+	-	0	+	+	+
ṳ	breathy rounded close back vowel		-	+	+	-	-	-	+	-	+	+	+	+	+	-	0	-	-	0	+	0	0	0	+	0	+	+	0	+	+	+
u̥	devoiced rounded close back vowel		-	+	+	-	-	-	+	-	+	+	+	+	+	-	0	-	-	0	+	0	0	0	+	0	+	-	0	+	+	-
v	voiced labio-dental fricative consonant		+	-	0	-	+	-	+	+	+	-	0	+	+	-	0	0	-	0	+	0	0	0	-	-	-	-	+	-	-	+
vʲ	palatalized voiced labio-dental fricative consonant		-	-	0	-	+	-	+	+	+	-	0	+	+	-	0	0	-	0	+	0	0	0	-	-	-	-	+	-	-	+
vː	long voiced labio-dental fricative consonant		+	-	0	-	+	-	+	+	+	-	0	+	+	-	+	0	-	0	+	0	0	0	-	-	-	-	+	-	-	+
v̥	devoiced voiced labio-dental fricative consonant		+	-	0	-	+	-	+	+	+	-	0	+	+	-	0	0	-	0	+	0	0	0	-	-	-	-	+	-	-	-
v̩	syllabic voiced labio-dental fricative consonant		+	-	0	-	+	-	+	+	+	-	0	+	+	-	0	0	-	0	+	0	0	0	-	-	-	-	+	+	-	+
w	voiced labio-velar approximant consonant		0	+	+	0	-	0	+	-	0	+	+	+	-	-	0	-	-	0	+	0	0	0	+	0	+	0	0	-	-	0
wː	long voiced labio-velar approximant consonant		0	-	0	0	-	-	+	0	0	0	0	0	+	-	+	0	-	0	-	0	0	0	0	0	+	-	0	-	-	+
w̃	nasalized voiced labio-velar approximant consonant		0	-	0	0	-	-	+	0	0	0	0	0	+	-	0	0	+	0	-	0	0	0	0	0	+	-	0	-	-	+
x	voiceless velar fricative consonant		0	-	+	-	+	0	+	-	0	+	+	-	-	-	0	-	-	0	+	0	0	0	0	0	-	0	0	-	-	0
xʲ	palatalized voiceless velar fricative consonant		-	-	+	-	+	0	+	+	+	+	+	-	-	-	0	-	-	0	+	0	0	0	0	-	-	0	+	-	-	0
xʷ	labialized voiceless velar fricative consonant		0	-	+	-	+	0	+	-	0	+	+	+	-	-	0	-	-	0	+	0	0	0	+	0	-	0	0	-	-	0
xʼ	voiceless velar ejective fricative consonant		0	-	+	-	+	+	+	-	0	+	+	-	+	-	0	-	-	0	+	0	0	0	0	0	-	-	0	-	-	-
y	rounded close front vowel		+	+	-	-	-	-	+	+	+	+	+	+	+	-	0	-	-	0	+	0	0	0	+	-	+	-	-	+	+	+
yː	long rounded close front vowel		+	+	-	-	-	-	+	+	+	+	+	+	+	-	+	-	-	0	+	0	0	0	+	-	+	-	-	+	+	+
ỹ	nasalized rounded close front vowel		+	+	-	-	-	-	+	+	+	+	+	+	+	-	0	-	+	0	+	0	0	0	+	-	+	-	-	+	+	+
ỹː	long nasalized rounded close front vowel		+	+	-	-	-	-	+	+	+	+	+	+	+	-	+	-	+	0	+	0	0	0	+	-	+	-	-	+	+	+
z	voiced alveolar sibilant fricative consonant		+	-	0	-	+	-	+	+	-	-	0	-	+	-	0	0	-	0	+	0	0	0	0	+	-	-	+	-	-	+
zʲ	palatalized voiced alveolar sibilant fricative consonant		-	-	0	-	+	-	+	+	+	-	0	-	+	-	0	0	-	0	+	0	0	0	0	+	-	-	+	-	-	+
z̥	devoiced voiced alveolar sibilant fricative consonant		+	-	0	-	+	-	+	+	-	-	0	-	+	-	0	0	-	0	+	0	0	0	0	+	-	-	+	-	-	-
z̩	syllabic voiced alveolar sibilant fricative consonant		+	-	0	-	+	-	+	+	-	-	0	-	+	-	0	0	-	0	+	0	0	0	0	+	-	-	+	+	-	+
z̪	voiced dental sibilant fricative consonant		+	-	0	-	+	-	+	+	+	-	0	-	+	-	0	0	-	0	+	0	0	0	0	+	-	-	+	-	+	+
z̪̥	devoiced voiced dental sibilant fricative consonant		+	-	0	-	+	-	+	+	+	-	0	-	+	-	0	0	-	0	+	0	0	0	0	+	-	-	+	-	+	-
æ	unrounded near-open front vowel		+	+	-	-	-	-	+	+	+	+	-	-	+	-	0	+	-	0	+	0	0	0	0	-	+	-	-	+	-	+
æː	long unrounded near-open front vowel		+	+	-	-	-	-	+	+	+	+	-	-	+	-	+	+	-	0	+	0	0	0	0	-	+	-	-	+	-	+
æ̃	nasalized unrounded near-open front vowel		+	+	-	-	-	-	+	+	+	+	-	-	+	-	0	+	+	0	+	0	0	0	0	-	+	-	-	+	-	+
æ̃ː	long nasalized unrounded near-open front vowel		+	+	-	-	-	-	+	+	+	+	-	-	+	-	+	+	+	0	+	0	0	0	0	-	+	-	-	+	-	+
ð	voiced dental fricative consonant		+	-	0	-	+	-	+	+	+	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	-	-	+	-	+	+
ðː	long voiced dental fricative consonant		+	-	0	-	+	-	+	+	+	-	0	-	+	-	+	0	-	0	+	0	0	0	0	-	-	-	+	-	+	+
ð̞	voiced dental approximant consonant		+	-	0	0	-	-	+	+	+	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	+	-	-	-	+	+
ð̼	voiced linguolabial fricative consonant		+	-	0	-	+	-	+	+	-	-	0	+	+	-	0	0	-	0	+	0	0	0	-	-	-	-	+	-	-	+
ø	rounded close-mid front vowel		+	+	-	-	-	-	+	+	+	+	-	+	+	-	0	-	-	0	+	0	0	0	+	-	+	-	-	+	+	+
øː	long rounded close-mid front vowel		+	+	-	-	-	-	+	+	+	+	-	+	+	-	+	-	-	0	+	0	0	0	+	-	+	-	-	+	+	+
ø̃	nasalized rounded close-mid front vowel		+	+	-	-	-	-	+	+	+	+	-	+	+	-	0	-	+	0	+	0	0	0	+	-	+	-	-	+	+	+
ø̃ː	long nasalized rounded close-mid front vowel		+	+	-	-	-	-	+	+	+	+	-	+	+	-	+	-	+	0	+	0	0	0	+	-	+	-	-	+	+	+
ħ	voiceless pharyngeal fricative consonant		0	-	0	-	+	-	+	-	0	-	0	-	+	-	0	0	-	+	+	0	0	0	0	0	-	-	0	-	-	-
ŋ	voiced velar nasal consonant		0	-	+	-	+	-	-	-	0	+	+	-	+	-	0	-	+	0	+	0	0	0	0	0	-	-	0	-	-	+
ŋǀ	voiced dental nasal-click consonant		+	-	0	+	+	-	-	+	+	-	0	-	+	-	0	0	+	0	+	0	0	0	0	-	-	-	-	-	+	+
ŋǁ	voiced lateral nasal-click consonant		0	-	0	+	+	-	-	-	0	-	0	-	+	+	0	0	+	0	+	0	0	0	0	0	-	-	0	-	-	+
ŋǂ	voiced palatal nasal-click consonant		-	-	0	+	+	-	-	+	+	-	0	-	+	-	0	0	+	0	+	0	0	0	0	-	-	-	-	-	-	+
ŋǃ	voiced alveolar nasal-click consonant		+	-	0	+	+	-	-	+	-	-	0	-	+	-	0	0	+	0	+	0	0	0	0	-	-	-	-	-	-	+
ŋǃǃ	voiced retroflex nasal-click consonant		-	-	0	+	+	-	-	+	-	-	0	-	+	-	0	0	+	0	+	0	0	0	0	-	-	-	-	-	-	+
ŋʘ	voiced labial nasal-click consonant		0	-	0	+	+	-	-	-	0	-	0	+	+	-	0	0	+	0	+	0	0	0	-	0	-	-	0	-	-	+
ŋʷ	labialized voiced velar nasal consonant		0	-	+	-	+	-	-	-	0	+	+	+	+	-	0	-	+	0	+	0	0	0	+	0	-	-	0	-	-	+
ŋː	long voiced velar nasal consonant		0	-	+	-	+	-	-	-	0	+	+	-	+	-	+	-	+	0	+	0	0	0	0	0	-	-	0	-	-	+
ŋ̊	devoiced voiced velar nasal consonant		0	-	+	-	+	-	-	-	0	+	+	-	+	-	0	-	+	0	+	0	0	0	0	0	-	-	0	-	-	-
ŋ̊ǀ	devoiced voiced dental nasal-click consonant		+	-	0	+	+	-	-	+	+	-	0	-	+	-	0	0	+	0	+	0	0	0	0	-	-	-	-	-	+	-
ŋ̊ǁ	devoiced voiced lateral nasal-click consonant		0	-	0	+	+	-	-	-	0	-	0	-	+	+	0	0	+	0	+	0	0	0	0	0	-	-	0	-	-	-
ŋ̊ǂ	devoiced voiced palatal nasal-click consonant		-	-	0	+	+	-	-	+	+	-	0	-	+	-	0	0	+	0	+	0	0	0	0	-	-	-	-	-	-	-
ŋ̊ǃ	devoiced voiced alveolar nasal-click consonant		+	-	0	+	+	-	-	+	-	-	0	-	+	-	0	0	+	0	+	0	0	0	0	-	-	-	-	-	-	-
ŋ̊ǃǃ	devoiced voiced retroflex nasal-click consonant		-	-	0	+	+	-	-	+	-	-	0	-	+	-	0	0	+	0	+	0	0	0	0	-	-	-	-	-	-	-
ŋ̊ʘ	devoiced voiced labial nasal-click consonant		0	-	0	+	+	-	-	-	0	-	0	+	+	-	0	0	+	0	+	0	0	0	-	0	-	-	0	-	-	-
ŋ̍	syllabic voiced velar nasal consonant		0	-	+	-	+	-	-	-	0	+	+	-	+	-	0	-	+	0	+	0	0	0	0	0	-	-	0	+	-	+
œ	rounded open-mid front vowel		+	+	-	-	-	-	+	+	+	+	-	+	+	-	0	-	-	0	+	0	0	0	+	-	+	-	-	+	-	+
œː	long rounded open-mid front vowel		+	+	-	-	-	-	+	+	+	+	-	+	+	-	+	-	-	0	+	0	0	0	+	-	+	-	-	+	-	+
œ̃	nasalized rounded open-mid front vowel		+	+	-	-	-	-	+	+	+	+	-	+	+	-	0	-	+	0	+	0	0	0	+	-	+	-	-	+	-	+
œ̃ː	long nasalized rounded open-mid front vowel		+	+	-	-	-	-	+	+	+	+	-	+	+	-	+	-	+	0	+	0	0	0	+	-	+	-	-	+	-	+
ǀ	voiceless dental click consonant		+	-	0	+	+	0	-	+	+	-	0	-	-	-	0	0	-	0	+	0	0	0	0	-	-	0	-	-	+	0
ǁ	voiceless lateral click consonant		0	-	0	+	+	0	-	-	0	-	0	-	-	+	0	0	-	0	+	0	0	0	0	0	-	0	0	-	-	0
ǂ	voiceless palatal click consonant		-	-	0	+	+	0	-	+	+	-	0	-	-	-	0	0	-	0	+	0	0	0	0	-	-	0	-	-	-	0
