GRAPHEME	NAME
a	unrounded open front vowel
aˀ	glottalized unrounded open front vowel
aː	long unrounded open front vowel
aː̈	long centralized unrounded open front vowel
aː̟	long advanced unrounded open front vowel
aː̠	long retracted unrounded open front vowel
aˑ	mid-long unrounded open front vowel
aˑ̟	mid-long advanced unrounded open front vowel
aˑ̠	mid-long retracted unrounded open front vowel
a˞	rhotacized unrounded open front vowel
a˞ː	long rhotacized unrounded open front vowel
a˞ˤ	rhotacized pharyngealized unrounded open front vowel
a˞̟	rhotacized advanced unrounded open front vowel
aˠ	velarized unrounded open front vowel
aˠː	long velarized unrounded open front vowel
aˤ	pharyngealized unrounded open front vowel
aˤː	long pharyngealized unrounded open front vowel
â	unrounded open front with_falling_tone vowel
âː	long unrounded open front with_falling_tone vowel
âˑ	mid-long unrounded open front with_falling_tone vowel
âˑ̠	mid-long retracted unrounded open front with_falling_tone vowel
â̠	retracted unrounded open front with_falling_tone vowel
ã	nasalized unrounded open front vowel
ãˀ	glottalized nasalized unrounded open front vowel
ãː	long nasalized unrounded open front vowel
ãː̈	long centralized nasalized unrounded open front vowel
ãː̟	long advanced nasalized unrounded open front vowel
ãˑ	mid-long nasalized unrounded open front vowel
ãˤ	pharyngealized nasalized unrounded open front vowel
ã̈	centralized nasalized unrounded open front vowel
ã̟	advanced nasalized unrounded open front vowel
ā	unrounded open front with_mid_tone vowel
ă	ultra-short unrounded open front vowel
ä	centralized unrounded open front vowel
a̘	advanced-tongue-root unrounded open front vowel
a̘ː	long advanced-tongue-root unrounded open front vowel
a̘ˠ	velarized advanced-tongue-root unrounded open front vowel
a̙	retracted-tongue-root unrounded open front vowel
a̙ː	long retracted-tongue-root unrounded open front vowel
a̙ː̟	long advanced retracted-tongue-root unrounded open front vowel
a̙ˠ	velarized retracted-tongue-root unrounded open front vowel
a̝	raised unrounded open front vowel
a̝ː	long raised unrounded open front vowel
a̝ˑ	mid-long raised unrounded open front vowel
ã̝ˑ	mid-long raised nasalized unrounded open front vowel
a̞	lowered unrounded open front vowel
a̞ː	long lowered unrounded open front vowel
a̞ˑ	mid-long lowered unrounded open front vowel
a̟	advanced unrounded open front vowel
a̠	retracted unrounded open front vowel
a̤	breathy unrounded open front vowel
a̤ː	long breathy unrounded open front vowel
a̤ˑ	mid-long breathy unrounded open front vowel
a̤ˠ	velarized breathy unrounded open front vowel
a̤ˤ	pharyngealized breathy unrounded open front vowel
ã̤	nasalized breathy unrounded open front vowel
ã̤ː̈	long centralized nasalized breathy unrounded open front vowel
ã̤ˤ	pharyngealized nasalized breathy unrounded open front vowel
ä̤	centralized breathy unrounded open front vowel
ḁ	devoiced unrounded open front vowel
ḁː	long devoiced unrounded open front vowel
ḁˠ	velarized devoiced unrounded open front vowel
ḁˤ	pharyngealized devoiced unrounded open front vowel
ḁ̃	nasalized devoiced unrounded open front vowel
ḁ̃ː	long nasalized devoiced unrounded open front vowel
ḁ̤	devoiced breathy unrounded open front vowel
ḁ̯	non-syllabic devoiced unrounded open front vowel
ḁ̯ː	long non-syllabic devoiced unrounded open front vowel
ḁ̯̃	non-syllabic nasalized devoiced unrounded open front vowel
ḁ̯̃ː	long non-syllabic nasalized devoiced unrounded open front vowel
a̯	non-syllabic unrounded open front vowel
a̯ː	long non-syllabic unrounded open front vowel
ã̯	non-syllabic nasalized unrounded open front vowel
ã̯ː	long non-syllabic nasalized unrounded open front vowel
a̰	creaky unrounded open front vowel
a̰ː	long creaky unrounded open front vowel
a̰ːː	ultra-long creaky unrounded open front vowel
a̰ˑ	mid-long creaky unrounded open front vowel
a̰ˠ	velarized creaky unrounded open front vowel
a̰ˤ	pharyngealized creaky unrounded open front vowel
ã̰	nasalized creaky unrounded open front vowel
a̹ː	long more-rounded unrounded open front vowel
a̹ˑ	mid-long more-rounded unrounded open front vowel
b	voiced bilabial stop consonant
bv	voiced labio-dental affricate consonant
bvʰ	aspirated voiced labio-dental affricate consonant
bvʰː	aspirated long voiced labio-dental affricate consonant
bvʰˠ	aspirated velarized voiced labio-dental affricate consonant
bvʰˤ	aspirated pharyngealized voiced labio-dental affricate consonant
bvʱ	breathy voiced labio-dental affricate consonant
bvʱː	long breathy voiced labio-dental affricate consonant
bvʱˠ	velarized breathy voiced labio-dental affricate consonant
bvʱˤ	pharyngealized breathy voiced labio-dental affricate consonant
bvʲ	palatalized voiced labio-dental affricate consonant
bvʲʰ	palatalized aspirated voiced labio-dental affricate consonant
bvʲʱ	palatalized breathy voiced labio-dental affricate consonant
bvʲʷ	palatalized labialized voiced labio-dental affricate consonant
bvʲʷʰ	palatalized labialized aspirated voiced labio-dental affricate consonant
bvʲː	palatalized long voiced labio-dental affricate consonant
bvʷ	labialized voiced labio-dental affricate consonant
bvʷʰ	labialized aspirated voiced labio-dental affricate consonant
bvʷʰː	labialized aspirated long voiced labio-dental affricate consonant
bvʷʰˠ	labialized aspirated velarized voiced labio-dental affricate consonant
bvʷʰˤ	labialized aspirated pharyngealized voiced labio-dental affricate consonant
bvʷʱ	labialized breathy voiced labio-dental affricate consonant
bvʷˀ	labialized glottalized voiced labio-dental affricate consonant
bvʷː	labialized long voiced labio-dental affricate consonant
bvʷˠ	labialized velarized voiced labio-dental affricate consonant
bvʷˤ	labialized pharyngealized voiced labio-dental affricate consonant
bvˀ	glottalized voiced labio-dental affricate consonant
bvː	long voiced labio-dental affricate consonant
bvˠ	velarized voiced labio-dental affricate consonant
bvˠː	velarized long voiced labio-dental affricate consonant
bvˤ	pharyngealized voiced labio-dental affricate consonant
bvˤː	pharyngealized long voiced labio-dental affricate consonant
bṽ	nasalized voiced labio-dental affricate consonant
bṽː	nasalized long voiced labio-dental affricate consonant
bṽˤ	nasalized pharyngealized voiced labio-dental affricate consonant
bv̟	advanced voiced labio-dental affricate consonant
bv̠	retracted voiced labio-dental affricate consonant
bv̰	creaky voiced labio-dental affricate consonant
bv̰ʲ	palatalized creaky voiced labio-dental affricate consonant
bv̰ʷ	labialized creaky voiced labio-dental affricate consonant
bv̰ː	long creaky voiced labio-dental affricate consonant
bv̰ˠ	velarized creaky voiced labio-dental affricate consonant
bv̰ˤ	pharyngealized creaky voiced labio-dental affricate consonant
bṽ̰	nasalized creaky voiced labio-dental affricate consonant
bʰ	aspirated voiced bilabial stop consonant
bʰː	aspirated long voiced bilabial stop consonant
bʰˠ	aspirated velarized voiced bilabial stop consonant
bʰˤ	aspirated pharyngealized voiced bilabial stop consonant
bʱ	breathy voiced bilabial stop consonant
bʱː	long breathy voiced bilabial stop consonant
bʱˠ	velarized breathy voiced bilabial stop consonant
bʱˤ	pharyngealized breathy voiced bilabial stop consonant
bʲ	palatalized voiced bilabial stop consonant
bʲʰ	palatalized aspirated voiced bilabial stop consonant
bʲʰː	palatalized aspirated long voiced bilabial stop consonant
bʲʱ	palatalized breathy voiced bilabial stop consonant
bʲʷ	palatalized labialized voiced bilabial stop consonant
bʲʷʰ	palatalized labialized aspirated voiced bilabial stop consonant
bʲː	palatalized long voiced bilabial stop consonant
bʷ	labialized voiced bilabial stop consonant
bʷʰ	labialized aspirated voiced bilabial stop consonant
bʷʰː	labialized aspirated long voiced bilabial stop consonant
bʷʰˠ	labialized aspirated velarized voiced bilabial stop consonant
bʷʰˤ	labialized aspirated pharyngealized voiced bilabial stop consonant
bʷʱ	labialized breathy voiced bilabial stop consonant
bʷˀ	labialized glottalized voiced bilabial stop consonant
bʷː	labialized long voiced bilabial stop consonant
bʷˠ	labialized velarized voiced bilabial stop consonant
bʷˤ	labialized pharyngealized voiced bilabial stop consonant
bˀ	glottalized voiced bilabial stop consonant
bː	long voiced bilabial stop consonant
bˠ	velarized voiced bilabial stop consonant
bˠː	velarized long voiced bilabial stop consonant
bˡ	with-lateral-release voiced bilabial stop consonant
bˤ	pharyngealized voiced bilabial stop consonant
bˤː	pharyngealized long voiced bilabial stop consonant
b̃	nasalized voiced bilabial stop consonant
b̃ʷ	nasalized labialized voiced bilabial stop consonant
b̃ː	nasalized long voiced bilabial stop consonant
b̃ˤ	nasalized pharyngealized voiced bilabial stop consonant
b̚	unreleased voiced bilabial stop consonant
b̟	advanced voiced bilabial stop consonant
b̠	retracted voiced bilabial stop consonant
b̥	devoiced voiced bilabial stop consonant
b̥ʰ	aspirated devoiced voiced bilabial stop consonant
b̥ʱ	devoiced breathy voiced bilabial stop consonant
b̥ː	long devoiced voiced bilabial stop consonant
b̩	syllabic voiced bilabial stop consonant
b̩ʲ	syllabic palatalized voiced bilabial stop consonant
b̩ʲː	syllabic palatalized long voiced bilabial stop consonant
b̩ʷ	syllabic labialized voiced bilabial stop consonant
b̩ʷː	syllabic labialized long voiced bilabial stop consonant
b̩ː	syllabic long voiced bilabial stop consonant
b̪	voiced labio-dental stop consonant
b̬	revoiced voiced bilabial stop consonant
b̰	creaky voiced bilabial stop consonant
b̰ʲ	palatalized creaky voiced bilabial stop consonant
b̰ʷ	labialized creaky voiced bilabial stop consonant
b̰ː	long creaky voiced bilabial stop consonant
b̰ˠ	velarized creaky voiced bilabial stop consonant
b̰ˤ	pharyngealized creaky voiced bilabial stop consonant
b̰̃	nasalized creaky voiced bilabial stop consonant
b̻	voiced laminal bilabial stop consonant
b͈	strong voiced bilabial stop consonant
b͈ː	strong long voiced bilabial stop consonant
bβ	voiced bilabial affricate consonant
bβʰ	aspirated voiced bilabial affricate consonant
bβʰː	aspirated long voiced bilabial affricate consonant
bβʰˠ	aspirated velarized voiced bilabial affricate consonant
bβʰˤ	aspirated pharyngealized voiced bilabial affricate consonant
bβʱ	breathy voiced bilabial affricate consonant
bβʱː	long breathy voiced bilabial affricate consonant
bβʱˠ	velarized breathy voiced bilabial affricate consonant
bβʱˤ	pharyngealized breathy voiced bilabial affricate consonant
bβʲ	palatalized voiced bilabial affricate consonant
bβʲʰ	palatalized aspirated voiced bilabial affricate consonant
bβʲʱ	palatalized breathy voiced bilabial affricate consonant
bβʲʷ	palatalized labialized voiced bilabial affricate consonant
bβʲʷʰ	palatalized labialized aspirated voiced bilabial affricate consonant
bβʲː	palatalized long voiced bilabial affricate consonant
bβʷ	labialized voiced bilabial affricate consonant
bβʷʰ	labialized aspirated voiced bilabial affricate consonant
bβʷʰː	labialized aspirated long voiced bilabial affricate consonant
bβʷʰˠ	labialized aspirated velarized voiced bilabial affricate consonant
bβʷʰˤ	labialized aspirated pharyngealized voiced bilabial affricate consonant
bβʷʱ	labialized breathy voiced bilabial affricate consonant
bβʷˀ	labialized glottalized voiced bilabial affricate consonant
bβʷː	labialized long voiced bilabial affricate consonant
bβʷˠ	labialized velarized voiced bilabial affricate consonant
bβʷˤ	labialized pharyngealized voiced bilabial affricate consonant
bβˀ	glottalized voiced bilabial affricate consonant
bβː	long voiced bilabial affricate consonant
bβˠ	velarized voiced bilabial affricate consonant
bβˠː	velarized long voiced bilabial affricate consonant
bβˤ	pharyngealized voiced bilabial affricate consonant
bβˤː	pharyngealized long voiced bilabial affricate consonant
bβ̃	nasalized voiced bilabial affricate consonant
bβ̃ː	nasalized long voiced bilabial affricate consonant
bβ̃ˤ	nasalized pharyngealized voiced bilabial affricate consonant
bβ̟	advanced voiced bilabial affricate consonant
bβ̠	retracted voiced bilabial affricate consonant
bβ̰	creaky voiced bilabial affricate consonant
bβ̰ʲ	palatalized creaky voiced bilabial affricate consonant
bβ̰ʷ	labialized creaky voiced bilabial affricate consonant
bβ̰ː	long creaky voiced bilabial affricate consonant
bβ̰ˠ	velarized creaky voiced bilabial affricate consonant
bβ̰ˤ	pharyngealized creaky voiced bilabial affricate consonant
bβ̰̃	nasalized creaky voiced bilabial affricate consonant
b’	voiced bilabial ejective stop consonant
bⁿ	with-nasal-release voiced bilabial stop consonant
c	voiceless palatal stop consonant
cç	voiceless palatal affricate consonant
cçʰ	aspirated voiceless palatal affricate consonant
cçʰː	aspirated long voiceless palatal affricate consonant
cçʰˠ	aspirated velarized voiceless palatal affricate consonant
cçʰˤ	aspirated pharyngealized voiceless palatal affricate consonant
cçʲ	palatalized voiceless palatal affricate consonant
cçʲʰ	palatalized aspirated voiceless palatal affricate consonant
cçʲʷ	palatalized labialized voiceless palatal affricate consonant
cçʲʷʰ	palatalized labialized aspirated voiceless palatal affricate consonant
cçʲː	palatalized long voiceless palatal affricate consonant
cçʷ	labialized voiceless palatal affricate consonant
cçʷʰ	labialized aspirated voiceless palatal affricate consonant
cçʷʰː	labialized aspirated long voiceless palatal affricate consonant
cçʷʰˠ	labialized aspirated velarized voiceless palatal affricate consonant
cçʷʰˤ	labialized aspirated pharyngealized voiceless palatal affricate consonant
cçʷˀ	labialized glottalized voiceless palatal affricate consonant
cçʷː	labialized long voiceless palatal affricate consonant
cçʷˠ	labialized velarized voiceless palatal affricate consonant
cçʷˤ	labialized pharyngealized voiceless palatal affricate consonant
cçˀ	glottalized voiceless palatal affricate consonant
cçː	long voiceless palatal affricate consonant
cçˠ	velarized voiceless palatal affricate consonant
cçˠː	velarized long voiceless palatal affricate consonant
cçˤ	pharyngealized voiceless palatal affricate consonant
cçˤː	pharyngealized long voiceless palatal affricate consonant
cç̟	advanced voiceless palatal affricate consonant
cç̠	retracted voiceless palatal affricate consonant
cç̺	voiceless apical palatal affricate consonant
cç̻	voiceless laminal palatal affricate consonant
cçᶣ	labio-palatalized voiceless palatal affricate consonant
cçᶣʰ	labio-palatalized aspirated voiceless palatal affricate consonant
cç’	voiceless palatal ejective affricate consonant
cç’ʲ	palatalized voiceless palatal ejective affricate consonant
cç’ʷ	labialized voiceless palatal ejective affricate consonant
cç’ʷˤ	labialized pharyngealized voiceless palatal ejective affricate consonant
cç’ː	long voiceless palatal ejective affricate consonant
cç’ˤ	pharyngealized voiceless palatal ejective affricate consonant
cʰ	aspirated voiceless palatal stop consonant
cʰː	aspirated long voiceless palatal stop consonant
cʰˠ	aspirated velarized voiceless palatal stop consonant
cʰˤ	aspirated pharyngealized voiceless palatal stop consonant
cʱ	breathy voiceless palatal stop consonant
cʲ	palatalized voiceless palatal stop consonant
cʲʰ	palatalized aspirated voiceless palatal stop consonant
cʲʰː	palatalized aspirated long voiceless palatal stop consonant
cʲʷ	palatalized labialized voiceless palatal stop consonant
cʲʷʰ	palatalized labialized aspirated voiceless palatal stop consonant
cʲː	palatalized long voiceless palatal stop consonant
cʷ	labialized voiceless palatal stop consonant
cʷʰ	labialized aspirated voiceless palatal stop consonant
cʷʰː	labialized aspirated long voiceless palatal stop consonant
cʷʰˠ	labialized aspirated velarized voiceless palatal stop consonant
cʷʰˤ	labialized aspirated pharyngealized voiceless palatal stop consonant
cʷˀ	labialized glottalized voiceless palatal stop consonant
cʷː	labialized long voiceless palatal stop consonant
cʷˠ	labialized velarized voiceless palatal stop consonant
cʷˤ	labialized pharyngealized voiceless palatal stop consonant
cʼ	voiceless palatal ejective stop consonant
cˀ	glottalized voiceless palatal stop consonant
cː	long voiceless palatal stop consonant
cˠ	velarized voiceless palatal stop consonant
cˠː	velarized long voiceless palatal stop consonant
cˤ	pharyngealized voiceless palatal stop consonant
cˤː	pharyngealized long voiceless palatal stop consonant
c̚	unreleased voiceless palatal stop consonant
c̟	advanced voiceless palatal stop consonant
c̠	retracted voiceless palatal stop consonant
c̠ʲ	retracted palatalized voiceless palatal stop consonant
c̥	devoiced voiceless palatal stop consonant
ç	voiceless palatal sibilant fricative consonant
çʰ	aspirated voiceless palatal sibilant fricative consonant
çʰː	aspirated long voiceless palatal sibilant fricative consonant
çʰˠ	aspirated velarized voiceless palatal sibilant fricative consonant
çʰˤ	aspirated pharyngealized voiceless palatal sibilant fricative consonant
çʲ	palatalized voiceless palatal sibilant fricative consonant
çʲʰ	palatalized aspirated voiceless palatal sibilant fricative consonant
çʲʷ	palatalized labialized voiceless palatal sibilant fricative consonant
çʲʷʰ	palatalized labialized aspirated voiceless palatal sibilant fricative consonant
çʲː	palatalized long voiceless palatal sibilant fricative consonant
çʷ	labialized voiceless palatal sibilant fricative consonant
çʷʰ	labialized aspirated voiceless palatal sibilant fricative consonant
çʷʰː	labialized aspirated long voiceless palatal sibilant fricative consonant
çʷʰˠ	labialized aspirated velarized voiceless palatal sibilant fricative consonant
çʷʰˤ	labialized aspirated pharyngealized voiceless palatal sibilant fricative consonant
çʷˀ	labialized glottalized voiceless palatal sibilant fricative consonant
çʷː	labialized long voiceless palatal sibilant fricative consonant
çʷˠ	labialized velarized voiceless palatal sibilant fricative consonant
çʷˤ	labialized pharyngealized voiceless palatal sibilant fricative consonant
çˀ	glottalized voiceless palatal sibilant fricative consonant
çː	long voiceless palatal sibilant fricative consonant
çˠ	velarized voiceless palatal sibilant fricative consonant
çˠː	velarized long voiceless palatal sibilant fricative consonant
çˤ	pharyngealized voiceless palatal sibilant fricative consonant
çˤː	pharyngealized long voiceless palatal sibilant fricative consonant
ç̝	raised voiceless palatal sibilant fricative consonant
ç̞	lowered voiceless palatal sibilant fricative consonant
ç̟	advanced voiceless palatal sibilant fricative consonant
ç̠	retracted voiceless palatal sibilant fricative consonant
ç̩	syllabic voiceless palatal sibilant fricative consonant
ç̩ʲ	syllabic palatalized voiceless palatal sibilant fricative consonant
ç̩ʲː	syllabic palatalized long voiceless palatal sibilant fricative consonant
ç̩ʷ	syllabic labialized voiceless palatal sibilant fricative consonant
ç̩ʷː	syllabic labialized long voiceless palatal sibilant fricative consonant
ç̩ː	syllabic long voiceless palatal sibilant fricative consonant
çᶣ	labio-palatalized voiceless palatal sibilant fricative consonant
çᶣʰ	labio-palatalized aspirated voiceless palatal sibilant fricative consonant
ç’	voiceless palatal ejective sibilant fricative consonant
ç’ʲ	palatalized voiceless palatal ejective sibilant fricative consonant
ç’ʷ	labialized voiceless palatal ejective sibilant fricative consonant
ç’ʷˤ	labialized pharyngealized voiceless palatal ejective sibilant fricative consonant
ç’ː	long voiceless palatal ejective sibilant fricative consonant
ç’ˤ	pharyngealized voiceless palatal ejective sibilant fricative consonant
c̩	syllabic voiceless palatal stop consonant
c̩ʲ	syllabic palatalized voiceless palatal stop consonant
c̩ʲː	syllabic palatalized long voiceless palatal stop consonant
c̩ʷ	syllabic labialized voiceless palatal stop consonant
c̩ʷː	syllabic labialized long voiceless palatal stop consonant
c̩ː	syllabic long voiceless palatal stop consonant
c̰	creaky voiceless palatal stop consonant
cᶣ	labio-palatalized voiceless palatal stop consonant
cᶣʰ	labio-palatalized aspirated voiceless palatal stop consonant
c’ʲ	palatalized voiceless palatal ejective stop consonant
c’ʷ	labialized voiceless palatal ejective stop consonant
c’ʷˤ	labialized pharyngealized voiceless palatal ejective stop consonant
c’ː	long voiceless palatal ejective stop consonant
c’ˤ	pharyngealized voiceless palatal ejective stop consonant
cⁿ	with-nasal-release voiceless palatal stop consonant
d	voiced alveolar stop consonant
dz	voiced alveolar sibilant affricate consonant
dzʰ	aspirated voiced alveolar sibilant affricate consonant
dzʰː	aspirated long voiced alveolar sibilant affricate consonant
dzʰˠ	aspirated velarized voiced alveolar sibilant affricate consonant
dzʰˤ	aspirated pharyngealized voiced alveolar sibilant affricate consonant
dzʱ	breathy voiced alveolar sibilant affricate consonant
dzʱː	long breathy voiced alveolar sibilant affricate consonant
dzʱˠ	velarized breathy voiced alveolar sibilant affricate consonant
dzʱˤ	pharyngealized breathy voiced alveolar sibilant affricate consonant
dzʲ	palatalized voiced alveolar sibilant affricate consonant
dzʲʰ	palatalized aspirated voiced alveolar sibilant affricate consonant
dzʲʱ	palatalized breathy voiced alveolar sibilant affricate consonant
dzʲʷ	palatalized labialized voiced alveolar sibilant affricate consonant
dzʲʷʰ	palatalized labialized aspirated voiced alveolar sibilant affricate consonant
dzʲː	palatalized long voiced alveolar sibilant affricate consonant
dzʷ	labialized voiced alveolar sibilant affricate consonant
dzʷʰ	labialized aspirated voiced alveolar sibilant affricate consonant
dzʷʰː	labialized aspirated long voiced alveolar sibilant affricate consonant
dzʷʰˠ	labialized aspirated velarized voiced alveolar sibilant affricate consonant
dzʷʰˤ	labialized aspirated pharyngealized voiced alveolar sibilant affricate consonant
dzʷʱ	labialized breathy voiced alveolar sibilant affricate consonant
dzʷˀ	labialized glottalized voiced alveolar sibilant affricate consonant
dzʷː	labialized long voiced alveolar sibilant affricate consonant
dzʷˠ	labialized velarized voiced alveolar sibilant affricate consonant
dzʷˤ	labialized pharyngealized voiced alveolar sibilant affricate consonant
dzˀ	glottalized voiced alveolar sibilant affricate consonant
dzː	long voiced alveolar sibilant affricate consonant
dzˠ	velarized voiced alveolar sibilant affricate consonant
dzˠː	velarized long voiced alveolar sibilant affricate consonant
dzˤ	pharyngealized voiced alveolar sibilant affricate consonant
dzˤː	pharyngealized long voiced alveolar sibilant affricate consonant
dz̃	nasalized voiced alveolar sibilant affricate consonant
dz̃ː	nasalized long voiced alveolar sibilant affricate consonant
dz̃ˤ	nasalized pharyngealized voiced alveolar sibilant affricate consonant
dz̟	advanced voiced alveolar sibilant affricate consonant
dz̠	retracted voiced alveolar sibilant affricate consonant
dz̪	voiced dental sibilant affricate consonant
dz̪ʰ	aspirated voiced dental sibilant affricate consonant
dz̪ʰː	aspirated long voiced dental sibilant affricate consonant
dz̪ʰˠ	aspirated velarized voiced dental sibilant affricate consonant
dz̪ʰˤ	aspirated pharyngealized voiced dental sibilant affricate consonant
dz̪ʱ	breathy voiced dental sibilant affricate consonant
dz̪ʱː	long breathy voiced dental sibilant affricate consonant
dz̪ʱˠ	velarized breathy voiced dental sibilant affricate consonant
dz̪ʱˤ	pharyngealized breathy voiced dental sibilant affricate consonant
dz̪ʲ	palatalized voiced dental sibilant affricate consonant
dz̪ʲʰ	palatalized aspirated voiced dental sibilant affricate consonant
dz̪ʲʱ	palatalized breathy voiced dental sibilant affricate consonant
dz̪ʲʷ	palatalized labialized voiced dental sibilant affricate consonant
dz̪ʲʷʰ	palatalized labialized aspirated voiced dental sibilant affricate consonant
dz̪ʲː	palatalized long voiced dental sibilant affricate consonant
dz̪ʷ	labialized voiced dental sibilant affricate consonant
dz̪ʷʰ	labialized aspirated voiced dental sibilant affricate consonant
dz̪ʷʰː	labialized aspirated long voiced dental sibilant affricate consonant
dz̪ʷʰˠ	labialized aspirated velarized voiced dental sibilant affricate consonant
dz̪ʷʰˤ	labialized aspirated pharyngealized voiced dental sibilant affricate consonant
dz̪ʷʱ	labialized breathy voiced dental sibilant affricate consonant
dz̪ʷˀ	labialized glottalized voiced dental sibilant affricate consonant
dz̪ʷː	labialized long voiced dental sibilant affricate consonant
dz̪ʷˠ	labialized velarized voiced dental sibilant affricate consonant
dz̪ʷˤ	labialized pharyngealized voiced dental sibilant affricate consonant
dz̪ˀ	glottalized voiced dental sibilant affricate consonant
dz̪ː	long voiced dental sibilant affricate consonant
dz̪ˠ	velarized voiced dental sibilant affricate consonant
dz̪ˠː	velarized long voiced dental sibilant affricate consonant
dz̪ˤ	pharyngealized voiced dental sibilant affricate consonant
dz̪ˤː	pharyngealized long voiced dental sibilant affricate consonant
dz̪̃	nasalized voiced dental sibilant affricate consonant
dz̪̃ː	nasalized long voiced dental sibilant affricate consonant
dz̪̃ˤ	nasalized pharyngealized voiced dental sibilant affricate consonant
dz̪̟	advanced voiced dental sibilant affricate consonant
dz̪̠	retracted voiced dental sibilant affricate consonant
dz̪̰	creaky voiced dental sibilant affricate consonant
dz̪̰ʲ	palatalized creaky voiced dental sibilant affricate consonant
dz̪̰ʷ	labialized creaky voiced dental sibilant affricate consonant
dz̪̰ː	long creaky voiced dental sibilant affricate consonant
dz̪̰ˠ	velarized creaky voiced dental sibilant affricate consonant
dz̪̰ˤ	pharyngealized creaky voiced dental sibilant affricate consonant
dz̪̰̃	nasalized creaky voiced dental sibilant affricate consonant
dz̪̺	voiced apical dental sibilant affricate consonant
dz̪̻	voiced laminal dental sibilant affricate consonant
dz̪ᶣ	labio-palatalized voiced dental sibilant affricate consonant
dz̪ᶣʰ	labio-palatalized aspirated voiced dental sibilant affricate consonant
dz̰	creaky voiced alveolar sibilant affricate consonant
dz̰ʲ	palatalized creaky voiced alveolar sibilant affricate consonant
dz̰ʷ	labialized creaky voiced alveolar sibilant affricate consonant
dz̰ː	long creaky voiced alveolar sibilant affricate consonant
dz̰ˠ	velarized creaky voiced alveolar sibilant affricate consonant
dz̰ˤ	pharyngealized creaky voiced alveolar sibilant affricate consonant
dz̰̃	nasalized creaky voiced alveolar sibilant affricate consonant
dz̺	voiced apical alveolar sibilant affricate consonant
dz̻	voiced laminal alveolar sibilant affricate consonant
dzᶣ	labio-palatalized voiced alveolar sibilant affricate consonant
dzᶣʰ	labio-palatalized aspirated voiced alveolar sibilant affricate consonant
dz’	voiced alveolar ejective sibilant affricate consonant
dð	voiced dental affricate consonant
dðʰ	aspirated voiced dental affricate consonant
dðʰː	aspirated long voiced dental affricate consonant
dðʰˠ	aspirated velarized voiced dental affricate consonant
dðʰˤ	aspirated pharyngealized voiced dental affricate consonant
dðʱ	breathy voiced dental affricate consonant
dðʱː	long breathy voiced dental affricate consonant
dðʱˠ	velarized breathy voiced dental affricate consonant
dðʱˤ	pharyngealized breathy voiced dental affricate consonant
dðʲ	palatalized voiced dental affricate consonant
dðʲʰ	palatalized aspirated voiced dental affricate consonant
dðʲʱ	palatalized breathy voiced dental affricate consonant
dðʲʷ	palatalized labialized voiced dental affricate consonant
dðʲʷʰ	palatalized labialized aspirated voiced dental affricate consonant
dðʲː	palatalized long voiced dental affricate consonant
dðʷ	labialized voiced dental affricate consonant
dðʷʰ	labialized aspirated voiced dental affricate consonant
dðʷʰː	labialized aspirated long voiced dental affricate consonant
dðʷʰˠ	labialized aspirated velarized voiced dental affricate consonant
dðʷʰˤ	labialized aspirated pharyngealized voiced dental affricate consonant
dðʷʱ	labialized breathy voiced dental affricate consonant
dðʷˀ	labialized glottalized voiced dental affricate consonant
dðʷː	labialized long voiced dental affricate consonant
dðʷˠ	labialized velarized voiced dental affricate consonant
dðʷˤ	labialized pharyngealized voiced dental affricate consonant
dðˀ	glottalized voiced dental affricate consonant
dðː	long voiced dental affricate consonant
dðˠ	velarized voiced dental affricate consonant
dðˠː	velarized long voiced dental affricate consonant
dðˤ	pharyngealized voiced dental affricate consonant
dðˤː	pharyngealized long voiced dental affricate consonant
dð̃	nasalized voiced dental affricate consonant
dð̃ː	nasalized long voiced dental affricate consonant
dð̃ˤ	nasalized pharyngealized voiced dental affricate consonant
dð̟	advanced voiced dental affricate consonant
dð̠	retracted voiced dental affricate consonant
dð̰	creaky voiced dental affricate consonant
dð̰ʲ	palatalized creaky voiced dental affricate consonant
dð̰ʷ	labialized creaky voiced dental affricate consonant
dð̰ː	long creaky voiced dental affricate consonant
dð̰ˠ	velarized creaky voiced dental affricate consonant
dð̰ˤ	pharyngealized creaky voiced dental affricate consonant
dð̰̃	nasalized creaky voiced dental affricate consonant
dð̺	voiced apical dental affricate consonant
dð̻	voiced laminal dental affricate consonant
dðᶣ	labio-palatalized voiced dental affricate consonant
dðᶣʰ	labio-palatalized aspirated voiced dental affricate consonant
dɮ	voiced alveolar lateral affricate consonant
dɮʰ	aspirated voiced alveolar lateral affricate consonant
dɮʰː	aspirated long voiced alveolar lateral affricate consonant
