GRAPHEME	NAME
dɮʰˠ	aspirated velarized voiced alveolar lateral affricate consonant
dɮʰˤ	aspirated pharyngealized voiced alveolar lateral affricate consonant
dɮʱ	breathy voiced alveolar lateral affricate consonant
dɮʱː	long breathy voiced alveolar lateral affricate consonant
dɮʱˠ	velarized breathy voiced alveolar lateral affricate consonant
dɮʱˤ	pharyngealized breathy voiced alveolar lateral affricate consonant
dɮʲ	palatalized voiced alveolar lateral affricate consonant
dɮʲʰ	palatalized aspirated voiced alveolar lateral affricate consonant
dɮʲʱ	palatalized breathy voiced alveolar lateral affricate consonant
dɮʲʷ	palatalized labialized voiced alveolar lateral affricate consonant
